preset,seed,views,n_train,macro_f1,empty_recall,play_recall,pred_empty,n_test
baseline,,0,775,0.4406,0.0000,1.0000,0,521
none,42,4,3875,0.3625,0.0000,1.0000,,
colour,7,4,3875,0.3479,0.0000,1.0000,0,521
colour,42,4,3875,0.3479,0.0000,1.0000,,
light,7,4,3875,0.3501,0.0000,1.0000,0,521
light,13,4,3875,0.4136,0.0617,1.0000,15,521
light,42,4,3875,0.8550,0.6872,1.0000,,
light,99,4,3875,0.3479,0.0000,1.0000,0,521
light,123,4,3875,0.3510,0.0000,1.0000,0,521
weather,42,4,3875,0.4486,0.0988,1.0000,,
full,42,4,3875,0.3479,0.0000,1.0000,,
