question,view,other,dist,note
camera_identity,slot_20260711_1000_camA,slot_20260712_2030_camB,0.1113,mutual-NN cross-day opposite suffix
camera_identity,slot_20260711_1000_camB,slot_20260712_2030_camA,0.2773,mutual-NN cross-day opposite suffix
camera_identity,,,,"the suffix swaps between the two days - gotcha 2.7 is MEASURED, not remembered"
assignment_descriptor,cb_1788518680610,ch_1788518162577,0.3183,MISS: clipvenue_b_floodlit_track -> clipvenue_h_teal_pitch
assignment_descriptor,cg_1788518155619,ce_1788518718116,0.3379,MISS: clipvenue_g_netting -> clipvenue_e_pink_boards
assignment_descriptor,ci_1788518712737,ca_1788518168281,0.2889,MISS: clipvenue_i_outdoor_trees -> clipvenue_a_blue_barrier
assignment_descriptor,,,0.8798,1NN venue accuracy 67/70 = 0.9571; separation AUC 0.8798; overlaps=True
assignment_structure,cb_1788518680610,slot_20260712_2030_camA,0.3087,MISS: clipvenue_b_floodlit_track -> venue_01
assignment_structure,cg_1788518155619,ca_1788518324229,0.2633,MISS: clipvenue_g_netting -> clipvenue_a_blue_barrier
assignment_structure,ci_1788518712737,ch_1788518036387,0.2903,MISS: clipvenue_i_outdoor_trees -> clipvenue_h_teal_pitch
assignment_structure,,,0.8437,1NN venue accuracy 67/70 = 0.9571; separation AUC 0.8437; overlaps=True
assignment_chroma,cb_1788518680610,ch_1788518070457,0.1341,MISS: clipvenue_b_floodlit_track -> clipvenue_h_teal_pitch
assignment_chroma,cb_1788518694984,ch_1788518162577,0.0711,MISS: clipvenue_b_floodlit_track -> clipvenue_h_teal_pitch
assignment_chroma,cd_1788518102618,slot_20260712_2030_camA,0.13,MISS: clipvenue_d_indoor_dome -> venue_01
assignment_chroma,cg_1788518055948,ca_1788518318235,0.188,MISS: clipvenue_g_netting -> clipvenue_a_blue_barrier
assignment_chroma,cg_1788518136880,cb_1788518742645,0.0344,MISS: clipvenue_g_netting -> clipvenue_b_floodlit_track
assignment_chroma,cg_1788518155619,ch_1788518162577,0.1013,MISS: clipvenue_g_netting -> clipvenue_h_teal_pitch
assignment_chroma,ch_1788518162577,cg_1788518136880,0.0344,MISS: clipvenue_h_teal_pitch -> clipvenue_g_netting
assignment_chroma,ci_1788518712737,ca_1788518168281,0.1197,MISS: clipvenue_i_outdoor_trees -> clipvenue_a_blue_barrier
assignment_chroma,slot_20260711_1000_camB,cg_1788518136880,0.0475,MISS: venue_01 -> clipvenue_g_netting
