axis,group,frames,scenes,frames_per_scene,redundancy
class,C1_EMPTY,494,5,98.8,0.99
class,C2_ACTIVE_PLAY,1210,182,6.6,0.85
class,C3_MAINTENANCE_NON_SPORTING,16,10,1.6,0.375
venue,clipvenue_a_blue_barrier,168,24,7.0,0.857
venue,clipvenue_b_floodlit_track,85,12,7.1,0.859
venue,clipvenue_c_teal_boards,36,5,7.2,0.861
venue,clipvenue_d_indoor_dome,18,15,1.2,0.167
venue,clipvenue_e_pink_boards,18,1,18.0,0.944
venue,clipvenue_f_outdoor_bldg,13,9,1.4,0.308
venue,clipvenue_g_netting,32,7,4.6,0.781
venue,clipvenue_h_teal_pitch,21,7,3.0,0.667
venue,clipvenue_i_outdoor_trees,18,6,3.0,0.667
venue,davinci_j_maint_outdoor,1,1,1.0,0.0
venue,davinci_l_city_pitch,1,1,1.0,0.0
venue,venue_01,1309,109,12.0,0.917
source,clip,424,97,4.4,0.771
source,motion,348,80,4.3,0.77
source,regular,948,59,16.1,0.938
camera,clipvenue_a_blue_barrier/ca_1788518168281,6,2,3.0,0.667
camera,clipvenue_a_blue_barrier/ca_1788518174157,6,1,6.0,0.833
camera,clipvenue_a_blue_barrier/ca_1788518270455,6,2,3.0,0.667
camera,clipvenue_a_blue_barrier/ca_1788518278573,6,1,6.0,0.833
camera,clipvenue_a_blue_barrier/ca_1788518284135,6,2,3.0,0.667
camera,clipvenue_a_blue_barrier/ca_1788518291422,6,4,1.5,0.333
camera,clipvenue_a_blue_barrier/ca_1788518296205,6,1,6.0,0.833
camera,clipvenue_a_blue_barrier/ca_1788518302270,6,1,6.0,0.833
camera,clipvenue_a_blue_barrier/ca_1788518312798,6,2,3.0,0.667
camera,clipvenue_a_blue_barrier/ca_1788518318235,6,2,3.0,0.667
camera,clipvenue_a_blue_barrier/ca_1788518324229,6,4,1.5,0.333
camera,clipvenue_a_blue_barrier/ca_1788518332036,6,1,6.0,0.833
camera,clipvenue_a_blue_barrier/ca_1788518338406,6,2,3.0,0.667
camera,clipvenue_a_blue_barrier/ca_1788518343632,6,2,3.0,0.667
camera,clipvenue_a_blue_barrier/ca_1788518349117,6,3,2.0,0.5
camera,clipvenue_a_blue_barrier/ca_1788518356572,6,4,1.5,0.333
camera,clipvenue_a_blue_barrier/ca_1788518475528,6,2,3.0,0.667
camera,clipvenue_a_blue_barrier/ca_1788518480806,6,2,3.0,0.667
camera,clipvenue_a_blue_barrier/ca_1788518486158,6,1,6.0,0.833
camera,clipvenue_a_blue_barrier/ca_1788518528712,6,2,3.0,0.667
camera,clipvenue_a_blue_barrier/ca_1788518533961,6,2,3.0,0.667
camera,clipvenue_a_blue_barrier/ca_1788518546012,6,2,3.0,0.667
camera,clipvenue_a_blue_barrier/ca_1788518551408,6,2,3.0,0.667
camera,clipvenue_a_blue_barrier/ca_1788518557362,6,2,3.0,0.667
camera,clipvenue_a_blue_barrier/ca_1788518563639,6,3,2.0,0.5
camera,clipvenue_a_blue_barrier/ca_1788518570250,6,3,2.0,0.5
camera,clipvenue_a_blue_barrier/ca_1788518575705,6,3,2.0,0.5
camera,clipvenue_a_blue_barrier/ca_1788518581547,6,3,2.0,0.5
camera,clipvenue_b_floodlit_track/cb_1788518043376,6,1,6.0,0.833
camera,clipvenue_b_floodlit_track/cb_1788518049658,6,1,6.0,0.833
camera,clipvenue_b_floodlit_track/cb_1788518452957,6,1,6.0,0.833
