detector,imgsz,tiles,n_hand,count_mae,within_one_rate,ge5_recall,ge5_n,zero_recall,zero_n,n_empty,false_person_rate,false_ball_rate,n_play,ball_recall_mean,ball_recall_min,ball_recall_max,median_ms,round_s,fits_budget,within_one_by_venue,ball_recall_by_venue,elapsed_s,chosen,selection_blind
yolo11n,1280,1,100,1.39,0.65,0.9643,56,0.9524,21,120,0.0167,0.075,147,0.4667,0.0,1.0,174.5,15.7,True,clipvenue_a_blue_barrier=0.38;clipvenue_d_indoor_dome=0.29;clipvenue_e_pink_boards=0.43;clipvenue_f_outdoor_bldg=0.71;clipvenue_g_netting=0.29;clipvenue_h_teal_pitch=0.71;clipvenue_i_outdoor_trees=0.43;venue_01=0.84,clipvenue_a_blue_barrier=0.47;clipvenue_b_floodlit_track=0.00;clipvenue_c_teal_boards=1.00;clipvenue_d_indoor_dome=0.40;clipvenue_e_pink_boards=0.93;clipvenue_f_outdoor_bldg=0.33;clipvenue_g_netting=0.40;clipvenue_h_teal_pitch=0.27;clipvenue_i_outdoor_trees=0.40;venue_01=0.47,72.9,False,False
yolo11n,1280,2,100,2.77,0.42,0.9821,56,0.9524,21,120,0.1,0.0833,147,0.62,0.0,1.0,684.1,61.57,False,clipvenue_a_blue_barrier=0.00;clipvenue_d_indoor_dome=0.00;clipvenue_e_pink_boards=0.14;clipvenue_f_outdoor_bldg=0.43;clipvenue_g_netting=0.14;clipvenue_h_teal_pitch=0.14;clipvenue_i_outdoor_trees=0.29;venue_01=0.68,clipvenue_a_blue_barrier=0.60;clipvenue_b_floodlit_track=0.00;clipvenue_c_teal_boards=1.00;clipvenue_d_indoor_dome=1.00;clipvenue_e_pink_boards=0.93;clipvenue_f_outdoor_bldg=0.67;clipvenue_g_netting=0.40;clipvenue_h_teal_pitch=0.60;clipvenue_i_outdoor_trees=0.53;venue_01=0.47,378.3,False,False
yolo11n-seg,1280,1,100,1.4,0.62,0.9643,56,0.9524,21,120,0.0083,0.0,147,0.355,0.0667,1.0,199.6,17.96,True,clipvenue_a_blue_barrier=0.38;clipvenue_d_indoor_dome=0.43;clipvenue_e_pink_boards=0.29;clipvenue_f_outdoor_bldg=0.29;clipvenue_g_netting=0.43;clipvenue_h_teal_pitch=0.43;clipvenue_i_outdoor_trees=1.00;venue_01=0.78,clipvenue_a_blue_barrier=0.27;clipvenue_b_floodlit_track=0.07;clipvenue_c_teal_boards=1.00;clipvenue_d_indoor_dome=0.27;clipvenue_e_pink_boards=0.93;clipvenue_f_outdoor_bldg=0.08;clipvenue_g_netting=0.20;clipvenue_h_teal_pitch=0.13;clipvenue_i_outdoor_trees=0.20;venue_01=0.40,107.0,False,False
yolo11n-seg,1280,2,100,2.56,0.39,1.0,56,0.9524,21,120,0.0917,0.0167,147,0.5467,0.0667,1.0,926.0,83.34,False,clipvenue_a_blue_barrier=0.00;clipvenue_d_indoor_dome=0.00;clipvenue_e_pink_boards=0.00;clipvenue_f_outdoor_bldg=0.29;clipvenue_g_netting=0.14;clipvenue_h_teal_pitch=0.14;clipvenue_i_outdoor_trees=0.29;venue_01=0.66,clipvenue_a_blue_barrier=0.73;clipvenue_b_floodlit_track=0.07;clipvenue_c_teal_boards=1.00;clipvenue_d_indoor_dome=0.67;clipvenue_e_pink_boards=0.93;clipvenue_f_outdoor_bldg=0.67;clipvenue_g_netting=0.33;clipvenue_h_teal_pitch=0.27;clipvenue_i_outdoor_trees=0.40;venue_01=0.40,577.2,False,False
yolov8n,1280,1,100,1.23,0.7,0.9643,56,0.9524,21,120,0.0417,0.075,147,0.43,0.1333,0.9333,118.1,10.63,True,clipvenue_a_blue_barrier=0.38;clipvenue_d_indoor_dome=0.29;clipvenue_e_pink_boards=0.43;clipvenue_f_outdoor_bldg=0.43;clipvenue_g_netting=0.57;clipvenue_h_teal_pitch=0.86;clipvenue_i_outdoor_trees=0.71;venue_01=0.88,clipvenue_a_blue_barrier=0.40;clipvenue_b_floodlit_track=0.53;clipvenue_c_teal_boards=0.93;clipvenue_d_indoor_dome=0.20;clipvenue_e_pink_boards=0.87;clipvenue_f_outdoor_bldg=0.17;clipvenue_g_netting=0.40;clipvenue_h_teal_pitch=0.20;clipvenue_i_outdoor_trees=0.13;venue_01=0.47,60.0,True,False
yolov8n,1280,2,100,2.63,0.38,0.9821,56,0.9048,21,120,0.1333,0.075,147,0.585,0.4667,0.9333,589.1,53.02,False,clipvenue_a_blue_barrier=0.00;clipvenue_d_indoor_dome=0.00;clipvenue_e_pink_boards=0.00;clipvenue_f_outdoor_bldg=0.14;clipvenue_g_netting=0.14;clipvenue_h_teal_pitch=0.14;clipvenue_i_outdoor_trees=0.14;venue_01=0.68,clipvenue_a_blue_barrier=0.47;clipvenue_b_floodlit_track=0.53;clipvenue_c_teal_boards=0.93;clipvenue_d_indoor_dome=0.47;clipvenue_e_pink_boards=0.87;clipvenue_f_outdoor_bldg=0.58;clipvenue_g_netting=0.53;clipvenue_h_teal_pitch=0.47;clipvenue_i_outdoor_trees=0.47;venue_01=0.53,309.0,False,False
yolov8n-seg,1280,1,100,1.15,0.64,0.9643,56,0.9524,21,120,0.0417,0.05,147,0.33,0.0667,1.0,162.6,14.63,True,clipvenue_a_blue_barrier=0.38;clipvenue_d_indoor_dome=0.29;clipvenue_e_pink_boards=0.43;clipvenue_f_outdoor_bldg=0.71;clipvenue_g_netting=0.43;clipvenue_h_teal_pitch=0.43;clipvenue_i_outdoor_trees=0.29;venue_01=0.86,clipvenue_a_blue_barrier=0.27;clipvenue_b_floodlit_track=0.07;clipvenue_c_teal_boards=1.00;clipvenue_d_indoor_dome=0.27;clipvenue_e_pink_boards=0.80;clipvenue_f_outdoor_bldg=0.17;clipvenue_g_netting=0.27;clipvenue_h_teal_pitch=0.07;clipvenue_i_outdoor_trees=0.27;venue_01=0.13,90.4,False,False
yolov8n-seg,1280,2,100,2.26,0.45,1.0,56,0.9524,21,120,0.1,0.0583,147,0.4417,0.0667,1.0,764.7,68.82,False,clipvenue_a_blue_barrier=0.12;clipvenue_d_indoor_dome=0.00;clipvenue_e_pink_boards=0.00;clipvenue_f_outdoor_bldg=0.14;clipvenue_g_netting=0.43;clipvenue_h_teal_pitch=0.14;clipvenue_i_outdoor_trees=0.29;venue_01=0.74,clipvenue_a_blue_barrier=0.47;clipvenue_b_floodlit_track=0.07;clipvenue_c_teal_boards=1.00;clipvenue_d_indoor_dome=0.33;clipvenue_e_pink_boards=0.80;clipvenue_f_outdoor_bldg=0.42;clipvenue_g_netting=0.40;clipvenue_h_teal_pitch=0.27;clipvenue_i_outdoor_trees=0.40;venue_01=0.27,413.4,False,False
yolov8s,1280,1,100,1.29,0.66,0.9643,56,0.9524,21,120,0.075,0.05,147,0.41,0.1333,0.6667,303.9,27.35,True,clipvenue_a_blue_barrier=0.38;clipvenue_d_indoor_dome=0.29;clipvenue_e_pink_boards=0.43;clipvenue_f_outdoor_bldg=0.71;clipvenue_g_netting=0.43;clipvenue_h_teal_pitch=0.71;clipvenue_i_outdoor_trees=0.43;venue_01=0.84,clipvenue_a_blue_barrier=0.40;clipvenue_b_floodlit_track=0.13;clipvenue_c_teal_boards=0.67;clipvenue_d_indoor_dome=0.20;clipvenue_e_pink_boards=0.60;clipvenue_f_outdoor_bldg=0.50;clipvenue_g_netting=0.40;clipvenue_h_teal_pitch=0.27;clipvenue_i_outdoor_trees=0.53;venue_01=0.40,146.8,False,False
yolov8s,1280,2,100,2.42,0.41,0.9821,56,0.9048,21,120,0.1167,0.0667,147,0.5767,0.2,0.8333,1402.6,126.23,False,clipvenue_a_blue_barrier=0.00;clipvenue_d_indoor_dome=0.00;clipvenue_e_pink_boards=0.00;clipvenue_f_outdoor_bldg=0.29;clipvenue_g_netting=0.29;clipvenue_h_teal_pitch=0.14;clipvenue_i_outdoor_trees=0.14;venue_01=0.70,clipvenue_a_blue_barrier=0.40;clipvenue_b_floodlit_track=0.20;clipvenue_c_teal_boards=0.73;clipvenue_d_indoor_dome=0.67;clipvenue_e_pink_boards=0.67;clipvenue_f_outdoor_bldg=0.83;clipvenue_g_netting=0.47;clipvenue_h_teal_pitch=0.67;clipvenue_i_outdoor_trees=0.67;venue_01=0.47,717.7,False,False
