detector,imgsz,tiles,median_ms,p95_ms,masks_median_ms,masks_p95_ms,round_s,fits_budget,cameras,burst,budget_s
yolo11n,1280,1,174.5,210.8,,,15.7,True,30,3,30.0
yolo11n,1280,2,684.1,699.4,,,61.57,False,30,3,30.0
yolo11n-seg,1280,1,199.6,245.4,206.1,221.1,17.96,True,30,3,30.0
yolo11n-seg,1280,2,926.0,962.2,961.8,1110.5,83.34,False,30,3,30.0
yolov8n,1280,1,118.1,120.2,,,10.63,True,30,3,30.0
yolov8n,1280,2,589.1,609.5,,,53.02,False,30,3,30.0
yolov8n-seg,1280,1,162.6,178.2,179.3,192.4,14.63,True,30,3,30.0
yolov8n-seg,1280,2,764.7,774.8,789.5,801.6,68.82,False,30,3,30.0
yolov8s,1280,1,303.9,337.4,,,27.35,True,30,3,30.0
yolov8s,1280,2,1402.6,1415.0,,,126.23,False,30,3,30.0
