axis,backbone,configuration,n_train,n_test,n_distinct_scenes,crossing_pairs,empty_accuracy,false_play_rate,maintenance_rate
class_configuration,dinov2,3class_balanced,775,243,3,,0.0,0.30864197530864196,0.691358024691358
class_configuration,dinov2,3class_unbalanced,775,243,3,,0.0,0.8806584362139918,0.11934156378600823
class_configuration,dinov2,2class_balanced,769,243,3,,0.0,1.0,0.0
class_configuration,dinov2,2class_unbalanced,769,243,3,,0.0,1.0,0.0
class_configuration,convnextv2,3class_balanced,775,243,3,,0.00823045267489712,0.9917695473251029,0.0
class_configuration,convnextv2,3class_unbalanced,775,243,3,,0.0,1.0,0.0
class_configuration,convnextv2,2class_balanced,769,243,3,,0.0,1.0,0.0
class_configuration,convnextv2,2class_unbalanced,769,243,3,,0.0,1.0,0.0
class_configuration,vit,3class_balanced,775,243,3,,0.1646090534979424,0.8353909465020576,0.0
class_configuration,vit,3class_unbalanced,775,243,3,,0.25102880658436216,0.7448559670781894,0.00411522633744856
class_configuration,vit,2class_balanced,769,243,3,,0.1522633744855967,0.8477366255144033,0.0
class_configuration,vit,2class_unbalanced,769,243,3,,0.0,1.0,0.0
camera_representation,dinov2,A_only__published,775,243,3,0,0.0,0.30864197530864196,0.691358024691358
camera_representation,dinov2,A_plus_B_play__SHORTCUT,1053,243,3,1172,0.7325102880658436,0.1111111111111111,0.15637860082304528
camera_representation,dinov2,A_plus_B_play_plus_01_empties,1054,242,3,1400,0.9793388429752066,0.02066115702479339,0.0
camera_representation,dinov2,A_plus_B_play_plus_03_empties,1056,240,3,1858,0.9791666666666666,0.020833333333333332,0.0
camera_representation,dinov2,A_plus_B_play_plus_05_empties,1058,238,3,2299,0.9789915966386554,0.02100840336134454,0.0
camera_representation,dinov2,A_plus_B_play_plus_10_empties,1063,233,3,3341,0.9785407725321889,0.02145922746781116,0.0
camera_representation,dinov2,A_plus_B_play_plus_25_empties,1078,218,3,5876,0.981651376146789,0.01834862385321101,0.0
camera_representation,dinov2,within_B__LEAKY,400,121,2,13406,1.0,0.0,0.0
camera_representation,convnextv2,A_only__published,775,243,3,0,0.00823045267489712,0.9917695473251029,0.0
camera_representation,convnextv2,A_plus_B_play__SHORTCUT,1053,243,3,1172,0.19753086419753085,0.8024691358024691,0.0
camera_representation,convnextv2,A_plus_B_play_plus_01_empties,1054,242,3,1400,0.9793388429752066,0.02066115702479339,0.0
camera_representation,convnextv2,A_plus_B_play_plus_03_empties,1056,240,3,1858,0.9791666666666666,0.020833333333333332,0.0
camera_representation,convnextv2,A_plus_B_play_plus_05_empties,1058,238,3,2299,0.9789915966386554,0.02100840336134454,0.0
camera_representation,convnextv2,A_plus_B_play_plus_10_empties,1063,233,3,3341,0.9785407725321889,0.02145922746781116,0.0
camera_representation,convnextv2,A_plus_B_play_plus_25_empties,1078,218,3,5876,0.981651376146789,0.01834862385321101,0.0
camera_representation,convnextv2,within_B__LEAKY,400,121,2,13406,1.0,0.0,0.0
camera_representation,vit,A_only__published,775,243,3,0,0.1646090534979424,0.8353909465020576,0.0
camera_representation,vit,A_plus_B_play__SHORTCUT,1053,243,3,1172,0.00411522633744856,0.9958847736625515,0.0
camera_representation,vit,A_plus_B_play_plus_01_empties,1054,242,3,1400,0.9793388429752066,0.02066115702479339,0.0
camera_representation,vit,A_plus_B_play_plus_03_empties,1056,240,3,1858,0.9791666666666666,0.020833333333333332,0.0
camera_representation,vit,A_plus_B_play_plus_05_empties,1058,238,3,2299,0.9789915966386554,0.02100840336134454,0.0
camera_representation,vit,A_plus_B_play_plus_10_empties,1063,233,3,3341,0.9785407725321889,0.02145922746781116,0.0
camera_representation,vit,A_plus_B_play_plus_25_empties,1078,218,3,5876,0.981651376146789,0.01834862385321101,0.0
camera_representation,vit,within_B__LEAKY,400,121,2,13406,1.0,0.0,0.0
