protocol,replicate,model,true,predicted,pair,venue,camera,lighting,slot_id,file,near_duplicate_in_train
random,random_seed42,convnextv2,C2,C1,C2->C1,venue_01,camera_A,day,venue_01_2026-07-11_1000,2_playing/slot_20260711_1000_camA_t000021_m.jpg,True
random,random_seed42,convnextv2,C1,C2,C1->C2,venue_01,camera_A,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camB_t002383.jpg,True
random,random_seed42,convnextv2,C3,C1,C3->C1,venue_01,camera_A,day,venue_01_2026-07-11_1000,3_people_not_playing/slot_20260711_1000_camA_t000509.jpg,True
random,random_seed42,convnextv2,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t000074.jpg,True
random,random_seed42,convnextv2,C2,C1,C2->C1,venue_01,camera_B,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camA_t002112.jpg,True
random,random_seed42,dinov2,C2,C1,C2->C1,venue_01,camera_A,day,venue_01_2026-07-11_1000,2_playing/slot_20260711_1000_camA_t000021_m.jpg,True
random,random_seed42,dinov2,C1,C2,C1->C2,venue_01,camera_A,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camB_t002383.jpg,True
random,random_seed42,dinov2,C3,C1,C3->C1,venue_01,camera_A,day,venue_01_2026-07-11_1000,3_people_not_playing/slot_20260711_1000_camA_t000509.jpg,True
random,random_seed42,dinov2,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t000074.jpg,True
random,random_seed42,dinov2,C2,C1,C2->C1,venue_01,camera_B,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camA_t002112.jpg,True
random,random_seed42,vit,C2,C1,C2->C1,venue_01,camera_A,day,venue_01_2026-07-11_1000,2_playing/slot_20260711_1000_camA_t000021_m.jpg,True
random,random_seed42,vit,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t000074.jpg,True
grouped_slot,grouped_slot_id_seed42,convnextv2,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t000074.jpg,False
