file,camera,lighting,mean_intensity,rms_contrast,blur,clipped_low,clipped_high,quality,reasons
1_empty/slot_20260711_1000_camA_t000029.jpg,venue_01::camera_A::day,day,75.90,17.16,273.5,0.0000,0.0000,good,
1_empty/slot_20260711_1000_camA_t000044.jpg,venue_01::camera_A::day,day,75.77,17.16,272.1,0.0000,0.0000,good,
1_empty/slot_20260711_1000_camA_t000059.jpg,venue_01::camera_A::day,day,75.90,17.15,276.2,0.0000,0.0000,good,
1_empty/slot_20260711_1000_camA_t000074.jpg,venue_01::camera_A::day,day,76.03,17.12,266.6,0.0000,0.0000,good,
1_empty/slot_20260711_1000_camA_t000086_m.jpg,venue_01::camera_A::day,day,75.99,17.21,266.4,0.0000,0.0000,good,
1_empty/slot_20260711_1000_camA_t000089.jpg,venue_01::camera_A::day,day,76.30,17.15,258.0,0.0000,0.0000,good,
1_empty/slot_20260711_1000_camA_t000104.jpg,venue_01::camera_A::day,day,76.19,17.11,259.0,0.0000,0.0000,good,
1_empty/slot_20260711_1000_camA_t000119.jpg,venue_01::camera_A::day,day,76.16,17.13,261.1,0.0000,0.0000,good,
1_empty/slot_20260711_1000_camA_t000134.jpg,venue_01::camera_A::day,day,76.12,17.15,271.9,0.0000,0.0000,good,
1_empty/slot_20260711_1000_camA_t000149.jpg,venue_01::camera_A::day,day,76.13,17.16,270.3,0.0000,0.0000,good,
1_empty/slot_20260711_1000_camA_t000164.jpg,venue_01::camera_A::day,day,76.05,17.17,267.4,0.0000,0.0000,good,
1_empty/slot_20260711_1000_camA_t000179.jpg,venue_01::camera_A::day,day,76.19,17.15,268.9,0.0000,0.0000,good,
1_empty/slot_20260711_1000_camA_t000194.jpg,venue_01::camera_A::day,day,76.17,17.16,272.3,0.0000,0.0000,good,
1_empty/slot_20260711_1000_camA_t000209.jpg,venue_01::camera_A::day,day,76.14,17.14,276.0,0.0000,0.0000,good,
1_empty/slot_20260711_1000_camA_t000224.jpg,venue_01::camera_A::day,day,76.31,17.36,266.6,0.0000,0.0000,good,
1_empty/slot_20260711_1000_camA_t000254.jpg,venue_01::camera_A::day,day,76.31,17.14,273.3,0.0000,0.0000,good,
1_empty/slot_20260711_1000_camA_t000284.jpg,venue_01::camera_A::day,day,76.48,17.38,268.4,0.0000,0.0000,good,
1_empty/slot_20260711_1000_camA_t000299.jpg,venue_01::camera_A::day,day,76.53,17.16,262.6,0.0000,0.0000,good,
1_empty/slot_20260711_1000_camA_t000314.jpg,venue_01::camera_A::day,day,76.48,17.29,268.0,0.0000,0.0000,good,
1_empty/slot_20260711_1000_camA_t000322_m.jpg,venue_01::camera_A::day,day,72.98,16.98,258.0,0.0000,0.0000,good,
1_empty/slot_20260711_1000_camA_t000329.jpg,venue_01::camera_A::day,day,72.96,16.82,249.3,0.0000,0.0000,good,
1_empty/slot_20260711_1000_camA_t000344.jpg,venue_01::camera_A::day,day,72.90,16.66,251.4,0.0000,0.0000,good,
