split,model,n_train,n_test,accuracy,macro_f1,macro_f1_lo,macro_f1_hi,balanced_acc,absent_classes,macro_over_classes,excluded_low_support,n_test_evaluable,fit_ms
random_seed42,majority,1184,394,0.6954,0.4108,0.3945,0.4254,0.3333,,C1_EMPTY;C2_ACTIVE_PLAY,C3_MAINTENANCE_NON_SPORTING,393,0.3
random_seed42,clock_rule,1184,394,0.9162,0.9091,0.8788,0.9377,0.6246,,C1_EMPTY;C2_ACTIVE_PLAY,C3_MAINTENANCE_NON_SPORTING,393,1.3
random_seed42,cheap_intensity,1184,394,0.2107,0.2821,0.2317,0.3332,0.5107,,C1_EMPTY;C2_ACTIVE_PLAY,C3_MAINTENANCE_NON_SPORTING,393,1028.7
random_seed42,cheap_histogram,1184,394,0.9594,0.9616,0.9414,0.9786,0.9568,,C1_EMPTY;C2_ACTIVE_PLAY,C3_MAINTENANCE_NON_SPORTING,393,35.6
random_seed42,convnextv2,1184,394,0.9873,0.9879,0.9745,0.9971,0.6586,,C1_EMPTY;C2_ACTIVE_PLAY,C3_MAINTENANCE_NON_SPORTING,393,388.5
random_seed42,dinov2,1184,394,0.9873,0.9879,0.9745,0.9971,0.6586,,C1_EMPTY;C2_ACTIVE_PLAY,C3_MAINTENANCE_NON_SPORTING,393,267.1
random_seed42,vit,1184,394,0.9949,0.994,0.9843,1.0,0.996,,C1_EMPTY;C2_ACTIVE_PLAY,C3_MAINTENANCE_NON_SPORTING,393,246.8
grouped_slot_id_seed42,majority,671,907,0.0099,0.0098,0.0044,0.0163,0.5,C3_MAINTENANCE_NON_SPORTING,C1_EMPTY;C2_ACTIVE_PLAY,,907,0.2
grouped_slot_id_seed42,clock_rule,671,907,0.9636,0.4907,0.4876,0.4936,0.4866,C3_MAINTENANCE_NON_SPORTING,C1_EMPTY;C2_ACTIVE_PLAY,,907,0.7
grouped_slot_id_seed42,cheap_intensity,671,907,0.1389,0.1338,0.1113,0.1568,0.2352,C3_MAINTENANCE_NON_SPORTING,C1_EMPTY;C2_ACTIVE_PLAY,,907,6.1
grouped_slot_id_seed42,cheap_histogram,671,907,0.1169,0.1096,0.0909,0.1291,0.279,C3_MAINTENANCE_NON_SPORTING,C1_EMPTY;C2_ACTIVE_PLAY,,907,26.9
grouped_slot_id_seed42,convnextv2,671,907,0.9901,0.4975,0.4958,0.4989,0.5,C3_MAINTENANCE_NON_SPORTING,C1_EMPTY;C2_ACTIVE_PLAY,,907,178.6
grouped_slot_id_seed42,dinov2,671,907,0.9846,0.5794,0.4944,0.7207,0.5522,C3_MAINTENANCE_NON_SPORTING,C1_EMPTY;C2_ACTIVE_PLAY,,907,102.8
grouped_slot_id_seed42,vit,671,907,0.9901,0.4975,0.4958,0.4989,0.5,C3_MAINTENANCE_NON_SPORTING,C1_EMPTY;C2_ACTIVE_PLAY,,907,227.1
