model,held_out_venue,n_train,n_test,play_recall,ci_low,ci_high,worst_fold,meets_target
clock_rule,clipvenue_a_blue_barrier,1410,168,1.0,,,,
clock_rule,clipvenue_d_indoor_dome,1560,18,0.0,,,,
clock_rule,clipvenue_e_pink_boards,1560,18,0.0,,,,
clock_rule,clipvenue_f_outdoor_bldg,1566,12,0.0,,,,
clock_rule,clipvenue_g_netting,1548,30,0.2,,,,
clock_rule,clipvenue_h_teal_pitch,1560,18,0.0,,,,
clock_rule,clipvenue_i_outdoor_trees,1560,18,0.3333,,,,
clock_rule,MEAN_ACROSS_FOLDS,,,0.219,0.0286,0.5048,0.0,False
convnextv2,clipvenue_a_blue_barrier,1410,168,0.9345,,,,
convnextv2,clipvenue_d_indoor_dome,1560,18,1.0,,,,
convnextv2,clipvenue_e_pink_boards,1560,18,1.0,,,,
convnextv2,clipvenue_f_outdoor_bldg,1566,12,0.75,,,,
convnextv2,clipvenue_g_netting,1548,30,0.9667,,,,
convnextv2,clipvenue_h_teal_pitch,1560,18,0.7222,,,,
convnextv2,clipvenue_i_outdoor_trees,1560,18,1.0,,,,
convnextv2,MEAN_ACROSS_FOLDS,,,0.9105,0.8214,0.9859,0.7222,True
dinov2,clipvenue_a_blue_barrier,1410,168,0.9524,,,,
dinov2,clipvenue_d_indoor_dome,1560,18,1.0,,,,
dinov2,clipvenue_e_pink_boards,1560,18,1.0,,,,
dinov2,clipvenue_f_outdoor_bldg,1566,12,1.0,,,,
dinov2,clipvenue_g_netting,1548,30,1.0,,,,
dinov2,clipvenue_h_teal_pitch,1560,18,0.6667,,,,
dinov2,clipvenue_i_outdoor_trees,1560,18,0.8889,,,,
dinov2,MEAN_ACROSS_FOLDS,,,0.9297,0.8345,0.9932,0.6667,True
