model,held_out_venue,n_train,n_test,play_recall,ci_low,ci_high,worst_fold,merged_fold,meets_target
clock_rule,clipvenue_a_blue_barrier,1410,168,1.0,,,,,
clock_rule,clipvenue_d_indoor_dome,1560,18,0.0,,,,,
clock_rule,clipvenue_e_pink_boards,1560,18,0.0,,,,,
clock_rule,clipvenue_f_outdoor_bldg,1566,12,0.0,,,,,
clock_rule,clipvenue_gh_merged_sensitivity,1530,48,0.125,,,,,
clock_rule,clipvenue_i_outdoor_trees,1560,18,0.3333,,,,,
clock_rule,MEAN_ACROSS_FOLDS,,,0.2431,0.0208,0.5556,0.0,0.125,False
convnextv2,clipvenue_a_blue_barrier,1410,168,0.9345,,,,,
convnextv2,clipvenue_d_indoor_dome,1560,18,1.0,,,,,
convnextv2,clipvenue_e_pink_boards,1560,18,1.0,,,,,
convnextv2,clipvenue_f_outdoor_bldg,1566,12,0.75,,,,,
convnextv2,clipvenue_gh_merged_sensitivity,1530,48,0.875,,,,,
convnextv2,clipvenue_i_outdoor_trees,1560,18,1.0,,,,,
convnextv2,MEAN_ACROSS_FOLDS,,,0.9266,0.8433,0.9891,0.75,0.875,True
dinov2,clipvenue_a_blue_barrier,1410,168,0.9524,,,,,
dinov2,clipvenue_d_indoor_dome,1560,18,1.0,,,,,
dinov2,clipvenue_e_pink_boards,1560,18,1.0,,,,,
dinov2,clipvenue_f_outdoor_bldg,1566,12,1.0,,,,,
dinov2,clipvenue_gh_merged_sensitivity,1530,48,0.9583,,,,,
dinov2,clipvenue_i_outdoor_trees,1560,18,0.8889,,,,,
dinov2,MEAN_ACROSS_FOLDS,,,0.9666,0.9322,0.9931,0.8889,0.9583,True
vit,clipvenue_a_blue_barrier,1410,168,1.0,,,,,
vit,clipvenue_d_indoor_dome,1560,18,1.0,,,,,
vit,clipvenue_e_pink_boards,1560,18,1.0,,,,,
vit,clipvenue_f_outdoor_bldg,1566,12,0.5833,,,,,
vit,clipvenue_gh_merged_sensitivity,1530,48,0.8333,,,,,
vit,clipvenue_i_outdoor_trees,1560,18,1.0,,,,,
vit,MEAN_ACROSS_FOLDS,,,0.9028,0.7639,1.0,0.5833,0.8333,True
