model,switch,subset,seed,n,baseline_macro_f1,arm_macro_f1,delta,ci_low,ci_high,mcnemar_p,cohens_g,n_discordant,p_holm,significant
convnextv2,clahe=auto,night,42,799,0.4972,0.4888,-0.0084,-0.0117,-0.0054,9.443e-07,0.5,26,9.443e-07,True
convnextv2,clahe=auto,night,43,799,0.4972,0.4715,-0.0256,-0.0317,-0.0201,2.818e-18,0.5,78,,
convnextv2,clahe=auto,night,44,799,0.4969,0.4781,-0.0187,-0.0238,-0.014,1.195e-13,0.5,57,,
convnextv2,clahe=auto,night,45,799,0.4972,0.4537,-0.0435,-0.0513,-0.0362,1.850e-29,0.5,129,,
convnextv2,clahe=auto,day,46,497,0.2335,0.3282,0.0947,0.0767,0.1163,3.818e-35,0.5,155,,
convnextv2,clahe=on,night,42,799,0.4972,0.4878,-0.0093,-0.0129,-0.0061,1.999e-07,0.5,29,3.997e-07,True
convnextv2,clahe=on,night,43,799,0.4972,0.4768,-0.0204,-0.0258,-0.0156,9.408e-15,0.5,62,,
convnextv2,clahe=on,night,44,799,0.4969,0.4812,-0.0157,-0.0204,-0.0113,1.170e-11,0.5,48,,
convnextv2,clahe=on,night,45,799,0.4972,0.4878,-0.0093,-0.013,-0.0061,1.999e-07,0.5,29,,
convnextv2,clahe=on,day,46,497,0.2335,0.3318,0.0983,0.0785,0.1208,3.085e-36,0.5,160,,
dinov2,clahe=auto,night,42,799,0.7617,0.4946,-0.2671,-0.4012,-0.05,3.210e-25,0.468,125,1.284e-24,True
dinov2,clahe=auto,night,43,799,0.6659,0.4937,-0.1722,-0.3049,0.0145,2.862e-45,0.482,217,,
dinov2,clahe=auto,night,44,799,0.7225,0.4946,-0.2279,-0.3542,-0.0437,3.105e-38,0.464,196,,
dinov2,clahe=auto,night,45,799,0.7378,0.494,-0.2438,-0.3774,-0.0237,4.433e-38,0.478,184,,
dinov2,clahe=auto,day,46,497,0.4276,0.2928,-0.1348,-0.1992,-0.0701,4.311e-26,0.469,129,,
dinov2,clahe=on,night,42,799,0.7617,0.4904,-0.2712,-0.4054,-0.0532,5.070e-22,0.456,114,1.521e-21,True
dinov2,clahe=on,night,43,799,0.6659,0.4943,-0.1716,-0.3046,0.0155,1.049e-45,0.482,219,,
dinov2,clahe=on,night,44,799,0.7225,0.4937,-0.2288,-0.3551,-0.0459,5.862e-38,0.469,191,,
dinov2,clahe=on,night,45,799,0.7378,0.4956,-0.2422,-0.3758,-0.0221,3.607e-39,0.479,189,,
dinov2,clahe=on,day,46,497,0.4276,0.2321,-0.1955,-0.2633,-0.1268,5.668e-49,0.483,234,,
,,night,,799,,,,,,,,71,,distinct_scenes
