split,comparison,zero_shot_macro_f1,trained_macro_f1,delta_macro_f1,ci_low,ci_high,zero_shot_accuracy,trained_accuracy,mcnemar_p,cohens_g,n_discordant,n_test,p_holm,significant,supports_h6,n_distinct_scenes,mcnemar_p_scenes
grouped_slot_id_seed42,clip_zeroshot_minus_convnextv2,0.6291,0.4975,0.1316,0.0538,0.2059,0.9471,0.9901,4.823e-07,0.342,57,907,1.447e-06,True,False,95,6.875e-01
grouped_slot_id_seed42,clip_zeroshot_minus_dinov2,0.6291,0.5794,0.0497,-0.1158,0.1767,0.9471,0.9846,1.470e-05,0.293,58,907,1.470e-05,True,False,95,1.000e+00
grouped_slot_id_seed42,clip_zeroshot_minus_vit,0.6291,0.4975,0.1316,0.0538,0.2059,0.9471,0.9901,4.823e-07,0.342,57,907,1.447e-06,True,False,95,6.875e-01
grouped_slot_id_seed43,clip_zeroshot_minus_convnextv2,0.6211,0.4973,0.1238,0.049,0.2,0.9414,0.9894,1.913e-07,0.347,59,853,5.740e-07,True,False,,
grouped_slot_id_seed43,clip_zeroshot_minus_dinov2,0.6211,0.5792,0.0419,-0.1301,0.1703,0.9414,0.9836,6.228e-06,0.3,60,853,6.228e-06,True,False,,
grouped_slot_id_seed43,clip_zeroshot_minus_vit,0.6211,0.4973,0.1238,0.0492,0.1996,0.9414,0.9883,4.782e-07,0.333,60,853,9.563e-07,True,False,,
grouped_slot_id_seed44,clip_zeroshot_minus_convnextv2,0.6342,0.4973,0.1368,0.0593,0.2142,0.9484,0.9894,3.008e-06,0.33,53,853,9.025e-06,True,False,,
grouped_slot_id_seed44,clip_zeroshot_minus_dinov2,0.6342,0.5792,0.055,-0.1217,0.1836,0.9484,0.9836,7.933e-05,0.278,54,853,1.587e-04,True,False,,
grouped_slot_id_seed44,clip_zeroshot_minus_vit,0.6342,0.4962,0.138,0.0599,0.2155,0.9484,0.9836,7.933e-05,0.278,54,853,1.587e-04,True,False,,
grouped_slot_id_seed45,clip_zeroshot_minus_convnextv2,0.6195,0.4975,0.122,0.0501,0.1966,0.943,0.9899,1.203e-07,0.35,60,895,3.608e-07,True,False,,
grouped_slot_id_seed45,clip_zeroshot_minus_dinov2,0.6195,0.5771,0.0424,-0.1239,0.1664,0.943,0.9754,7.495e-04,0.21,69,895,7.495e-04,True,False,,
grouped_slot_id_seed45,clip_zeroshot_minus_vit,0.6195,0.4972,0.1223,0.0501,0.1968,0.943,0.9877,7.308e-07,0.323,62,895,1.462e-06,True,False,,
grouped_slot_id_seed46,clip_zeroshot_minus_convnextv2,0.3849,0.0426,0.3423,0.2434,0.4765,0.5522,0.0683,2.738e-55,0.485,263,527,8.213e-55,True,False,,
grouped_slot_id_seed46,clip_zeroshot_minus_dinov2,0.3849,0.0426,0.3423,0.2434,0.4765,0.5522,0.0683,2.738e-55,0.485,263,527,8.213e-55,True,False,,
grouped_slot_id_seed46,clip_zeroshot_minus_vit,0.3849,0.2963,0.0886,-0.0009,0.2254,0.5522,0.5332,1.294e-02,0.357,14,527,1.294e-02,True,False,,
PROMPT_SPACE,fraction_beating_best_trained,0.4967,0.5794,-0.0827,0.3524,0.6403,0.6291,0.0207,0.7472,0.7265,,375,,0.2293,,,
SELECTION_BIAS,selected_minus_declared,,,0.4474,,,0.5225,0.9699,,,,,,,,,
