variant,venue,n_test,play_recall,false_play_rate,empty_accuracy
full,clipvenue_a_blue_barrier,168,1.0,,
full,clipvenue_d_indoor_dome,18,1.0,,
full,clipvenue_e_pink_boards,18,1.0,,
full,clipvenue_f_outdoor_bldg,12,0.9167,,
full,clipvenue_g_netting,30,0.8,,
full,clipvenue_h_teal_pitch,18,1.0,,
full,clipvenue_i_outdoor_trees,18,1.0,,
full,CONTROL_held_out_empty,243,,0.2305,0.7695
grayscale,clipvenue_a_blue_barrier,168,0.994,,
grayscale,clipvenue_d_indoor_dome,18,1.0,,
grayscale,clipvenue_e_pink_boards,18,1.0,,
grayscale,clipvenue_f_outdoor_bldg,12,0.9167,,
grayscale,clipvenue_g_netting,30,0.9667,,
grayscale,clipvenue_h_teal_pitch,18,1.0,,
grayscale,clipvenue_i_outdoor_trees,18,1.0,,
grayscale,CONTROL_held_out_empty,243,,0.0206,0.9794
blur4,clipvenue_a_blue_barrier,168,0.5893,,
blur4,clipvenue_d_indoor_dome,18,1.0,,
blur4,clipvenue_e_pink_boards,18,1.0,,
blur4,clipvenue_f_outdoor_bldg,12,0.9167,,
blur4,clipvenue_g_netting,30,1.0,,
blur4,clipvenue_h_teal_pitch,18,1.0,,
blur4,clipvenue_i_outdoor_trees,18,1.0,,
blur4,CONTROL_held_out_empty,243,,1.0,0.0
blur8,clipvenue_a_blue_barrier,168,0.5833,,
blur8,clipvenue_d_indoor_dome,18,0.9444,,
blur8,clipvenue_e_pink_boards,18,1.0,,
blur8,clipvenue_f_outdoor_bldg,12,0.9167,,
blur8,clipvenue_g_netting,30,0.7667,,
blur8,clipvenue_h_teal_pitch,18,0.6667,,
blur8,clipvenue_i_outdoor_trees,18,1.0,,
blur8,CONTROL_held_out_empty,243,,0.9259,0.0741
crop50,clipvenue_a_blue_barrier,168,0.9881,,
crop50,clipvenue_d_indoor_dome,18,1.0,,
crop50,clipvenue_e_pink_boards,18,1.0,,
crop50,clipvenue_f_outdoor_bldg,12,1.0,,
crop50,clipvenue_g_netting,30,1.0,,
crop50,clipvenue_h_teal_pitch,18,1.0,,
crop50,clipvenue_i_outdoor_trees,18,1.0,,
crop50,CONTROL_held_out_empty,243,,0.3128,0.0
gray+crop50,clipvenue_a_blue_barrier,168,0.9583,,
gray+crop50,clipvenue_d_indoor_dome,18,1.0,,
gray+crop50,clipvenue_e_pink_boards,18,1.0,,
gray+crop50,clipvenue_f_outdoor_bldg,12,0.6667,,
gray+crop50,clipvenue_g_netting,30,1.0,,
gray+crop50,clipvenue_h_teal_pitch,18,1.0,,
gray+crop50,clipvenue_i_outdoor_trees,18,0.6667,,
gray+crop50,CONTROL_held_out_empty,243,,0.9877,0.0123
