axis,backbone,unit_key,measure,arm,estimate,ci_low,ci_high,p_value,p_holm,significant,n_units,unit
cross_venue_recall,convnextv2,clipvenue_a_blue_barrier,fold_recall,raw,0.9345,,,,,,1,venue
cross_venue_recall,convnextv2,clipvenue_a_blue_barrier,fold_recall,preproc,1.0000,,,,,,1,venue
cross_venue_recall,convnextv2,clipvenue_d_indoor_dome,fold_recall,raw,1.0000,,,,,,1,venue
cross_venue_recall,convnextv2,clipvenue_d_indoor_dome,fold_recall,preproc,1.0000,,,,,,1,venue
cross_venue_recall,convnextv2,clipvenue_e_pink_boards,fold_recall,raw,1.0000,,,,,,1,venue
cross_venue_recall,convnextv2,clipvenue_e_pink_boards,fold_recall,preproc,1.0000,,,,,,1,venue
cross_venue_recall,convnextv2,clipvenue_f_outdoor_bldg,fold_recall,raw,0.7500,,,,,,1,venue
cross_venue_recall,convnextv2,clipvenue_f_outdoor_bldg,fold_recall,preproc,1.0000,,,,,,1,venue
cross_venue_recall,convnextv2,clipvenue_g_netting,fold_recall,raw,0.9667,,,,,,1,venue
cross_venue_recall,convnextv2,clipvenue_g_netting,fold_recall,preproc,1.0000,,,,,,1,venue
cross_venue_recall,convnextv2,clipvenue_h_teal_pitch,fold_recall,raw,0.7222,,,,,,1,venue
cross_venue_recall,convnextv2,clipvenue_h_teal_pitch,fold_recall,preproc,1.0000,,,,,,1,venue
cross_venue_recall,convnextv2,clipvenue_i_outdoor_trees,fold_recall,raw,1.0000,,,,,,1,venue
cross_venue_recall,convnextv2,clipvenue_i_outdoor_trees,fold_recall,preproc,0.8889,,,,,,1,venue
cross_venue_recall,dinov2,clipvenue_a_blue_barrier,fold_recall,raw,0.9524,,,,,,1,venue
cross_venue_recall,dinov2,clipvenue_a_blue_barrier,fold_recall,preproc,1.0000,,,,,,1,venue
cross_venue_recall,dinov2,clipvenue_d_indoor_dome,fold_recall,raw,1.0000,,,,,,1,venue
cross_venue_recall,dinov2,clipvenue_d_indoor_dome,fold_recall,preproc,1.0000,,,,,,1,venue
cross_venue_recall,dinov2,clipvenue_e_pink_boards,fold_recall,raw,1.0000,,,,,,1,venue
cross_venue_recall,dinov2,clipvenue_e_pink_boards,fold_recall,preproc,1.0000,,,,,,1,venue
cross_venue_recall,dinov2,clipvenue_f_outdoor_bldg,fold_recall,raw,1.0000,,,,,,1,venue
cross_venue_recall,dinov2,clipvenue_f_outdoor_bldg,fold_recall,preproc,0.9167,,,,,,1,venue
cross_venue_recall,dinov2,clipvenue_g_netting,fold_recall,raw,1.0000,,,,,,1,venue
cross_venue_recall,dinov2,clipvenue_g_netting,fold_recall,preproc,0.8000,,,,,,1,venue
cross_venue_recall,dinov2,clipvenue_h_teal_pitch,fold_recall,raw,0.6667,,,,,,1,venue
cross_venue_recall,dinov2,clipvenue_h_teal_pitch,fold_recall,preproc,1.0000,,,,,,1,venue
cross_venue_recall,dinov2,clipvenue_i_outdoor_trees,fold_recall,raw,0.8889,,,,,,1,venue
cross_venue_recall,dinov2,clipvenue_i_outdoor_trees,fold_recall,preproc,1.0000,,,,,,1,venue
cross_venue_recall,vit,clipvenue_a_blue_barrier,fold_recall,raw,1.0000,,,,,,1,venue
cross_venue_recall,vit,clipvenue_a_blue_barrier,fold_recall,preproc,0.9940,,,,,,1,venue
cross_venue_recall,vit,clipvenue_d_indoor_dome,fold_recall,raw,1.0000,,,,,,1,venue
cross_venue_recall,vit,clipvenue_d_indoor_dome,fold_recall,preproc,0.6111,,,,,,1,venue
cross_venue_recall,vit,clipvenue_e_pink_boards,fold_recall,raw,1.0000,,,,,,1,venue
cross_venue_recall,vit,clipvenue_e_pink_boards,fold_recall,preproc,1.0000,,,,,,1,venue
cross_venue_recall,vit,clipvenue_f_outdoor_bldg,fold_recall,raw,0.5833,,,,,,1,venue
cross_venue_recall,vit,clipvenue_f_outdoor_bldg,fold_recall,preproc,0.8333,,,,,,1,venue
cross_venue_recall,vit,clipvenue_g_netting,fold_recall,raw,1.0000,,,,,,1,venue
cross_venue_recall,vit,clipvenue_g_netting,fold_recall,preproc,1.0000,,,,,,1,venue
cross_venue_recall,vit,clipvenue_h_teal_pitch,fold_recall,raw,0.5000,,,,,,1,venue
cross_venue_recall,vit,clipvenue_h_teal_pitch,fold_recall,preproc,1.0000,,,,,,1,venue
cross_venue_recall,vit,clipvenue_i_outdoor_trees,fold_recall,raw,1.0000,,,,,,1,venue
cross_venue_recall,vit,clipvenue_i_outdoor_trees,fold_recall,preproc,0.9444,,,,,,1,venue
cross_venue_recall,convnextv2,ALL_VENUES,delta_preproc_minus_raw,preproc-raw,+0.0736,-0.0176,+0.1735,0.3125,0.9375,False,7,venue
cross_venue_recall,dinov2,ALL_VENUES,delta_preproc_minus_raw,preproc-raw,+0.0298,-0.0789,+0.1514,0.6875,1.0000,False,7,venue
cross_venue_recall,vit,ALL_VENUES,delta_preproc_minus_raw,preproc-raw,+0.0428,-0.1389,+0.2412,0.7500,1.0000,False,7,venue
false_play,convnextv2,train_camera_A,rate,raw,0.9918,,,,,,243,frame
false_play,convnextv2,train_camera_A,rate,preproc,0.0206,,,,,,243,frame
false_play,convnextv2,train_camera_A,delta_preproc_minus_raw,preproc-raw,-0.9712,-0.9918,-0.9506,7.982e-53,3.991e-52,True,243,frame
false_play,convnextv2,train_camera_B,rate,raw,0.0279,,,,,,251,frame
false_play,convnextv2,train_camera_B,rate,preproc,0.0159,,,,,,251,frame
false_play,convnextv2,train_camera_B,delta_preproc_minus_raw,preproc-raw,-0.0120,-0.0398,+0.0120,5.488e-01,1.000e+00,False,251,frame
false_play,dinov2,train_camera_A,rate,raw,0.3086,,,,,,243,frame
false_play,dinov2,train_camera_A,rate,preproc,0.2305,,,,,,243,frame
false_play,dinov2,train_camera_A,delta_preproc_minus_raw,preproc-raw,-0.0782,-0.1399,-0.0165,2.334e-02,7.003e-02,False,243,frame
false_play,dinov2,train_camera_B,rate,raw,0.0000,,,,,,251,frame
false_play,dinov2,train_camera_B,rate,preproc,0.9761,,,,,,251,frame
false_play,dinov2,train_camera_B,delta_preproc_minus_raw,preproc-raw,+0.9761,+0.9562,+0.9920,8.704e-55,5.222e-54,True,251,frame
false_play,vit,train_camera_A,rate,raw,0.8354,,,,,,243,frame
false_play,vit,train_camera_A,rate,preproc,0.9712,,,,,,243,frame
false_play,vit,train_camera_A,delta_preproc_minus_raw,preproc-raw,+0.1358,+0.0823,+0.1893,3.046e-06,1.218e-05,True,243,frame
false_play,vit,train_camera_B,rate,raw,0.0000,,,,,,251,frame
false_play,vit,train_camera_B,rate,preproc,0.0000,,,,,,251,frame
false_play,vit,train_camera_B,delta_preproc_minus_raw,preproc-raw,+0.0000,+0.0000,+0.0000,1.000e+00,1.000e+00,False,251,frame
false_play,,train_camera_A,n_train,,775,,,,,,3,class
false_play,,train_camera_B,n_train,,521,,,,,,2,class
false_play,convnextv2,train_camera_A,delta_on_distinct_scenes@2,preproc-raw,,,,,4.688e-02,True,10,distinct_scene
false_play,dinov2,train_camera_A,delta_on_distinct_scenes@2,preproc-raw,,,,,7.500e-01,False,10,distinct_scene
false_play,vit,train_camera_A,delta_on_distinct_scenes@2,preproc-raw,,,,,1.000e+00,False,10,distinct_scene
