model,n_labels,seed,macro_f1,accuracy
clock_rule,0,-1,0.4907,0.9636
convnextv2,10,0,0.4609,0.8512
convnextv2,10,1,0.5641,0.9504
convnextv2,10,2,0.5157,0.8467
convnextv2,10,3,0.5685,0.8302
convnextv2,10,4,0.4598,0.7089
convnextv2,25,0,0.6869,0.9857
convnextv2,25,1,0.5968,0.9669
convnextv2,25,2,0.6269,0.9746
convnextv2,25,3,0.6272,0.9757
convnextv2,25,4,0.6183,0.9735
convnextv2,50,0,0.6552,0.9813
convnextv2,50,1,0.6869,0.9857
convnextv2,50,2,0.453,0.7696
convnextv2,50,3,0.6552,0.9813
convnextv2,50,4,0.6011,0.9835
convnextv2,100,0,0.6869,0.9857
convnextv2,100,1,0.6967,0.9868
convnextv2,100,2,0.6272,0.9757
convnextv2,100,3,0.6779,0.9846
convnextv2,100,4,0.7075,0.9879
convnextv2,300,0,0.4975,0.9901
convnextv2,300,1,0.4975,0.9901
convnextv2,300,2,0.614,0.9857
convnextv2,300,3,0.4975,0.9901
convnextv2,300,4,0.6633,0.9868
convnextv2,671,0,0.4975,0.9901
dinov2,10,0,0.3191,0.3297
dinov2,10,1,0.3913,0.4399
dinov2,10,2,0.5162,0.7916
dinov2,10,3,0.3292,0.3506
dinov2,10,4,0.3242,0.3352
dinov2,25,0,0.4416,0.5513
dinov2,25,1,0.5886,0.7674
dinov2,25,2,0.5274,0.8379
dinov2,25,3,0.5791,0.9206
dinov2,25,4,0.4922,0.6262
dinov2,50,0,0.5763,0.6748
dinov2,50,1,0.5875,0.9504
dinov2,50,2,0.5797,0.9857
dinov2,50,3,0.5897,0.9283
dinov2,50,4,0.6313,0.9548
dinov2,100,0,0.6431,0.9669
dinov2,100,1,0.6093,0.9515
dinov2,100,2,0.5797,0.9857
dinov2,100,3,0.6499,0.9581
dinov2,100,4,0.6317,0.7288
dinov2,300,0,0.7178,0.9824
dinov2,300,1,0.6944,0.9779
dinov2,300,2,0.7063,0.9835
dinov2,300,3,0.6292,0.9835
dinov2,300,4,0.7063,0.9835
dinov2,671,0,0.5794,0.9846
vit,10,0,0.4577,0.8401
vit,10,1,0.4898,0.9559
vit,10,2,0.5792,0.9835
vit,10,3,0.6194,0.7861
vit,10,4,0.4381,0.7762
vit,25,0,0.4964,0.9846
vit,25,1,0.4958,0.9813
vit,25,2,0.4969,0.9879
vit,25,3,0.4969,0.9857
vit,25,4,0.4904,0.9581
vit,50,0,0.4967,0.9857
vit,50,1,0.5975,0.9901
vit,50,2,0.4975,0.9901
vit,50,3,0.4975,0.9901
vit,50,4,0.4884,0.9526
vit,100,0,0.4975,0.9901
vit,100,1,0.4975,0.9901
vit,100,2,0.4975,0.9901
vit,100,3,0.4975,0.9901
vit,100,4,0.495,0.9802
vit,300,0,0.4972,0.989
vit,300,1,0.4964,0.9857
vit,300,2,0.4961,0.9835
vit,300,3,0.4933,0.9724
vit,300,4,0.4969,0.9879
vit,671,0,0.4975,0.9901
