camera,current,raw_marks,on_turf,straight_only,segments
ca_1788518168281,0.5877,0.9401,0.4903,0.2416,17
ca_1788518174157,0.5557,0.8825,0.4432,0.251,19
ca_1788518270455,0.6914,0.9222,0.6306,0.2439,20
ca_1788518278573,0.7815,0.8239,0.5159,0.0657,10
ca_1788518284135,0.6905,0.9237,0.6046,0.1033,10
ca_1788518291422,0.7863,0.8326,0.5097,,10
ca_1788518296205,0.7868,0.8362,0.6061,,11
ca_1788518302270,0.7855,0.8119,0.598,,12
ca_1788518312798,0.5878,0.9406,0.491,0.2262,22
ca_1788518318235,0.5511,0.9196,0.4705,0.2039,19
ca_1788518324229,0.5881,0.9415,0.491,0.2232,17
ca_1788518332036,0.7007,0.9384,0.6451,0.2535,20
ca_1788518338406,0.7071,0.9206,0.657,0.1443,18
ca_1788518343632,0.7083,0.9206,0.657,0.1537,21
