model,held_out_venue,play_recall,false_play_rate,n_held_out_empty,is_ensemble
convnextv2,lo_venue_out__clipvenue_a_blue_barrier,0.9345,,,False
convnextv2,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,,False
convnextv2,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,False
convnextv2,lo_venue_out__clipvenue_f_outdoor_bldg,0.7500,,,False
convnextv2,lo_venue_out__clipvenue_g_netting,0.9667,,,False
convnextv2,lo_venue_out__clipvenue_h_teal_pitch,0.7222,,,False
convnextv2,lo_venue_out__clipvenue_i_outdoor_trees,1.0000,,,False
convnextv2,MEAN_ACROSS_FOLDS,0.9105,0.9918,243,False
dinov2,lo_venue_out__clipvenue_a_blue_barrier,0.9524,,,False
dinov2,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,,False
dinov2,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,False
dinov2,lo_venue_out__clipvenue_f_outdoor_bldg,1.0000,,,False
dinov2,lo_venue_out__clipvenue_g_netting,1.0000,,,False
dinov2,lo_venue_out__clipvenue_h_teal_pitch,0.6667,,,False
dinov2,lo_venue_out__clipvenue_i_outdoor_trees,0.8889,,,False
dinov2,MEAN_ACROSS_FOLDS,0.9297,0.3086,243,False
vit,lo_venue_out__clipvenue_a_blue_barrier,1.0000,,,False
vit,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,,False
vit,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,False
vit,lo_venue_out__clipvenue_f_outdoor_bldg,0.5833,,,False
vit,lo_venue_out__clipvenue_g_netting,1.0000,,,False
vit,lo_venue_out__clipvenue_h_teal_pitch,0.5000,,,False
vit,lo_venue_out__clipvenue_i_outdoor_trees,1.0000,,,False
vit,MEAN_ACROSS_FOLDS,0.8690,0.8354,243,False
ens_convnextv2_dinov2,lo_venue_out__clipvenue_a_blue_barrier,0.9643,,,True
ens_convnextv2_dinov2,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,,True
ens_convnextv2_dinov2,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,True
ens_convnextv2_dinov2,lo_venue_out__clipvenue_f_outdoor_bldg,1.0000,,,True
ens_convnextv2_dinov2,lo_venue_out__clipvenue_g_netting,1.0000,,,True
ens_convnextv2_dinov2,lo_venue_out__clipvenue_h_teal_pitch,0.6667,,,True
ens_convnextv2_dinov2,lo_venue_out__clipvenue_i_outdoor_trees,1.0000,,,True
ens_convnextv2_dinov2,MEAN_ACROSS_FOLDS,0.9473,1.0000,243,True
ens_convnextv2_dinov2_logit,lo_venue_out__clipvenue_a_blue_barrier,1.0000,,,True
ens_convnextv2_dinov2_logit,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,,True
ens_convnextv2_dinov2_logit,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,True
ens_convnextv2_dinov2_logit,lo_venue_out__clipvenue_f_outdoor_bldg,1.0000,,,True
ens_convnextv2_dinov2_logit,lo_venue_out__clipvenue_g_netting,1.0000,,,True
ens_convnextv2_dinov2_logit,lo_venue_out__clipvenue_h_teal_pitch,0.6667,,,True
ens_convnextv2_dinov2_logit,lo_venue_out__clipvenue_i_outdoor_trees,1.0000,,,True
ens_convnextv2_dinov2_logit,MEAN_ACROSS_FOLDS,0.9524,1.0000,243,True
ens_all_three,lo_venue_out__clipvenue_a_blue_barrier,1.0000,,,True
ens_all_three,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,,True
ens_all_three,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,True
ens_all_three,lo_venue_out__clipvenue_f_outdoor_bldg,1.0000,,,True
ens_all_three,lo_venue_out__clipvenue_g_netting,1.0000,,,True
ens_all_three,lo_venue_out__clipvenue_h_teal_pitch,0.6667,,,True
ens_all_three,lo_venue_out__clipvenue_i_outdoor_trees,1.0000,,,True
ens_all_three,MEAN_ACROSS_FOLDS,0.9524,1.0000,243,True
ens_all_three_logit,lo_venue_out__clipvenue_a_blue_barrier,1.0000,,,True
ens_all_three_logit,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,,True
ens_all_three_logit,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,True
ens_all_three_logit,lo_venue_out__clipvenue_f_outdoor_bldg,1.0000,,,True
ens_all_three_logit,lo_venue_out__clipvenue_g_netting,1.0000,,,True
ens_all_three_logit,lo_venue_out__clipvenue_h_teal_pitch,0.6667,,,True
ens_all_three_logit,lo_venue_out__clipvenue_i_outdoor_trees,1.0000,,,True
ens_all_three_logit,MEAN_ACROSS_FOLDS,0.9524,1.0000,243,True
ORACLE_per_fold_best,MEAN_ACROSS_FOLDS,0.9603,,,ceiling
