model,held_out_venue,play_recall,false_play_rate,n_held_out_empty,is_ensemble
convnextv2,lo_venue_out__clipvenue_a_blue_barrier,1.0000,,,False
convnextv2,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,,False
convnextv2,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,False
convnextv2,lo_venue_out__clipvenue_f_outdoor_bldg,1.0000,,,False
convnextv2,lo_venue_out__clipvenue_g_netting,1.0000,,,False
convnextv2,lo_venue_out__clipvenue_h_teal_pitch,1.0000,,,False
convnextv2,lo_venue_out__clipvenue_i_outdoor_trees,0.8889,,,False
convnextv2,MEAN_ACROSS_FOLDS,0.9841,0.0206,243,False
dinov2,lo_venue_out__clipvenue_a_blue_barrier,1.0000,,,False
dinov2,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,,False
dinov2,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,False
dinov2,lo_venue_out__clipvenue_f_outdoor_bldg,0.9167,,,False
dinov2,lo_venue_out__clipvenue_g_netting,0.8000,,,False
dinov2,lo_venue_out__clipvenue_h_teal_pitch,1.0000,,,False
dinov2,lo_venue_out__clipvenue_i_outdoor_trees,1.0000,,,False
dinov2,MEAN_ACROSS_FOLDS,0.9595,0.2305,243,False
vit,lo_venue_out__clipvenue_a_blue_barrier,0.9940,,,False
vit,lo_venue_out__clipvenue_d_indoor_dome,0.6111,,,False
vit,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,False
vit,lo_venue_out__clipvenue_f_outdoor_bldg,0.8333,,,False
vit,lo_venue_out__clipvenue_g_netting,1.0000,,,False
vit,lo_venue_out__clipvenue_h_teal_pitch,1.0000,,,False
vit,lo_venue_out__clipvenue_i_outdoor_trees,0.9444,,,False
vit,MEAN_ACROSS_FOLDS,0.9118,0.9712,243,False
ens_convnextv2_dinov2,lo_venue_out__clipvenue_a_blue_barrier,1.0000,,,True
ens_convnextv2_dinov2,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,,True
ens_convnextv2_dinov2,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,True
ens_convnextv2_dinov2,lo_venue_out__clipvenue_f_outdoor_bldg,1.0000,,,True
ens_convnextv2_dinov2,lo_venue_out__clipvenue_g_netting,1.0000,,,True
ens_convnextv2_dinov2,lo_venue_out__clipvenue_h_teal_pitch,1.0000,,,True
ens_convnextv2_dinov2,lo_venue_out__clipvenue_i_outdoor_trees,1.0000,,,True
ens_convnextv2_dinov2,MEAN_ACROSS_FOLDS,1.0000,0.0288,243,True
ens_convnextv2_dinov2_logit,lo_venue_out__clipvenue_a_blue_barrier,1.0000,,,True
ens_convnextv2_dinov2_logit,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,,True
ens_convnextv2_dinov2_logit,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,True
ens_convnextv2_dinov2_logit,lo_venue_out__clipvenue_f_outdoor_bldg,1.0000,,,True
ens_convnextv2_dinov2_logit,lo_venue_out__clipvenue_g_netting,1.0000,,,True
ens_convnextv2_dinov2_logit,lo_venue_out__clipvenue_h_teal_pitch,1.0000,,,True
ens_convnextv2_dinov2_logit,lo_venue_out__clipvenue_i_outdoor_trees,1.0000,,,True
ens_convnextv2_dinov2_logit,MEAN_ACROSS_FOLDS,1.0000,0.0288,243,True
ens_all_three,lo_venue_out__clipvenue_a_blue_barrier,1.0000,,,True
ens_all_three,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,,True
ens_all_three,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,True
ens_all_three,lo_venue_out__clipvenue_f_outdoor_bldg,1.0000,,,True
ens_all_three,lo_venue_out__clipvenue_g_netting,1.0000,,,True
ens_all_three,lo_venue_out__clipvenue_h_teal_pitch,1.0000,,,True
ens_all_three,lo_venue_out__clipvenue_i_outdoor_trees,1.0000,,,True
ens_all_three,MEAN_ACROSS_FOLDS,1.0000,0.1852,243,True
ens_all_three_logit,lo_venue_out__clipvenue_a_blue_barrier,1.0000,,,True
ens_all_three_logit,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,,True
ens_all_three_logit,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,True
ens_all_three_logit,lo_venue_out__clipvenue_f_outdoor_bldg,1.0000,,,True
ens_all_three_logit,lo_venue_out__clipvenue_g_netting,1.0000,,,True
ens_all_three_logit,lo_venue_out__clipvenue_h_teal_pitch,1.0000,,,True
ens_all_three_logit,lo_venue_out__clipvenue_i_outdoor_trees,1.0000,,,True
ens_all_three_logit,MEAN_ACROSS_FOLDS,1.0000,0.1399,243,True
ORACLE_per_fold_best,MEAN_ACROSS_FOLDS,1.0000,,,ceiling
