idx,t_s,verdict,motion,with_override,truth
0,0.0,ACTIVE_PLAY,,ACTIVE_PLAY,empty
1,15.0,EMPTY,1.879,EMPTY,empty
2,30.0,ACTIVE_PLAY,1.0729,EMPTY,empty
3,45.0,EMPTY,1.0879,EMPTY,empty
4,60.0,EMPTY,1.3598,EMPTY,empty
5,74.9,EMPTY,1.0369,EMPTY,empty
6,89.9,EMPTY,1.0101,EMPTY,empty
7,104.9,EMPTY,1.0073,EMPTY,empty
8,119.9,EMPTY,0.9522,EMPTY,empty
9,134.9,ACTIVE_PLAY,1.725,ACTIVE_PLAY,person
10,149.9,EMPTY,1.2,EMPTY,empty
11,164.9,ACTIVE_PLAY,1.0233,EMPTY,empty
12,179.9,EMPTY,1.0787,EMPTY,person
13,194.9,ACTIVE_PLAY,1.6102,ACTIVE_PLAY,empty
14,209.8,ACTIVE_PLAY,1.0556,EMPTY,empty
15,224.8,ACTIVE_PLAY,1.2687,ACTIVE_PLAY,person
