backbone,k,adapted_mean,adapted_min,adapted_max,target_only_mean,n_test,n_distinct_scenes,crossing_pairs,n_seeds
dinov2,0,0.4406,0.4406,0.4406,nan,521,12,0,5
dinov2,1,0.9895,0.9873,0.9903,nan,520,12,231,5
dinov2,2,0.9895,0.9884,0.9903,0.8924,519,12,418,5
dinov2,5,0.9902,0.9902,0.9902,0.9902,516,12,1082,5
dinov2,10,0.9902,0.9902,0.9902,0.9902,511,12,2153,5
dinov2,25,0.9878,0.9798,0.9899,0.9858,496,12,5159,5
dinov2,50,0.9889,0.9872,0.9893,0.9893,471,12,9558,5
convnextv2,0,0.3570,0.3570,0.3570,nan,521,12,0,5
convnextv2,1,0.9666,0.8971,0.9864,nan,520,12,231,5
convnextv2,2,0.9711,0.9253,0.9864,0.7736,519,12,418,5
convnextv2,5,0.9891,0.9844,0.9902,0.9902,516,12,1082,5
convnextv2,10,0.9902,0.9902,0.9902,0.9902,511,12,2153,5
convnextv2,25,0.9814,0.9476,0.9899,0.9778,496,12,5159,5
convnextv2,50,0.9868,0.9766,0.9893,0.9846,471,12,9558,5
vit,0,0.5076,0.5076,0.5076,nan,521,12,0,5
vit,1,0.9885,0.9864,0.9903,nan,520,12,231,5
vit,2,0.9893,0.9882,0.9903,0.8236,519,12,418,5
vit,5,0.9898,0.9881,0.9902,0.9902,516,12,1082,5
vit,10,0.9902,0.9902,0.9902,0.9902,511,12,2153,5
vit,25,0.9895,0.9879,0.9899,0.9915,496,12,5159,5
vit,50,0.9893,0.9893,0.9893,0.9910,471,12,9558,5
