backbone,roi_pooled,C,macro_f1,play_recall,false_play,balanced,inner_cv_f1
dinov2,False,0.001,0.929,0.8705,0.0041,0.8664,0.9839
dinov2,False,0.003,0.9232,0.8597,0.0041,0.8556,0.9874
dinov2,False,0.01,0.9155,0.8453,0.0041,0.8412,0.9873
dinov2,False,0.03,0.9175,0.8489,0.0041,0.8448,0.9873
dinov2,False,0.1,0.929,0.8705,0.0041,0.8664,0.9884
dinov2,False,0.3,0.9328,0.8741,0.0,0.8741,0.9873
dinov2,False,1.0,0.9386,0.8849,0.0,0.8849,0.9873
dinov2,False,3.0,0.9539,0.9137,0.0,0.9137,0.9873
dinov2,False,10.0,0.8532,0.7266,0.0,0.7266,0.9872
dinov2,False,100.0,0.8982,0.8094,0.0,0.8094,0.9838
dinov2,True,0.001,0.9577,0.9353,0.0165,0.9188,0.9895
dinov2,True,0.003,0.952,0.9209,0.0123,0.9085,0.9873
dinov2,True,0.01,0.9577,0.9281,0.0082,0.9198,0.9873
dinov2,True,0.03,0.9692,0.9604,0.0206,0.9399,0.9873
dinov2,True,0.1,0.9769,0.9784,0.0247,0.9537,0.9884
dinov2,True,0.3,0.9692,0.9604,0.0206,0.9399,0.9884
dinov2,True,1.0,0.975,0.9568,0.0041,0.9527,0.9884
dinov2,True,3.0,0.9673,0.9568,0.0206,0.9363,0.9895
dinov2,True,10.0,0.9769,0.9568,0.0,0.9568,0.9895
dinov2,True,100.0,0.9093,0.9245,0.107,0.8175,0.9838
dinov2,True,0.001,0.9367,0.8849,0.0041,0.8808,0.9861
dinov2,True,0.003,0.9328,0.8777,0.0041,0.8736,0.9861
dinov2,True,0.01,0.9309,0.8741,0.0041,0.87,0.9884
dinov2,True,0.03,0.9328,0.8777,0.0041,0.8736,0.9884
dinov2,True,0.1,0.9367,0.8849,0.0041,0.8808,0.9884
dinov2,True,0.3,0.9367,0.8849,0.0041,0.8808,0.9884
dinov2,True,1.0,0.9367,0.8813,0.0,0.8813,0.9884
dinov2,True,3.0,0.9367,0.8813,0.0,0.8813,0.9884
dinov2,True,10.0,0.8826,0.7806,0.0,0.7806,0.9884
dinov2,True,100.0,0.9347,0.8921,0.0165,0.8756,0.9792
