backbone,kind,fill,roi_pooled,cosine_neighbour_blocked,cosine_to_unbounded
convnextv2,convnet,none,False,0.95516,1.0
convnextv2,convnet,black,False,1.0,0.92315
convnextv2,convnet,blur,False,0.96595,0.98955
convnextv2,convnet,mean,False,1.0,0.95654
convnextv2,convnet,none,True,0.96388,0.9961
convnextv2,convnet,black,True,1.0,0.94616
convnextv2,convnet,blur,True,0.97963,0.98746
convnextv2,convnet,mean,True,1.0,0.96148
vit,transformer,none,False,0.84284,1.0
vit,transformer,black,False,1.0,0.78646
vit,transformer,blur,False,0.89608,0.92797
vit,transformer,mean,False,1.0,0.80248
vit,transformer,none,True,0.85666,0.99637
vit,transformer,black,True,1.0,0.81728
vit,transformer,blur,True,0.90264,0.92908
vit,transformer,mean,True,1.0,0.83521
dinov2,transformer,none,False,0.90956,1.0
dinov2,transformer,black,False,1.0,0.93545
dinov2,transformer,blur,False,0.96644,0.98912
dinov2,transformer,mean,False,1.0,0.9469
dinov2,transformer,none,True,0.93303,0.99158
dinov2,transformer,black,True,1.0,0.96724
dinov2,transformer,blur,True,0.98799,0.98601
dinov2,transformer,mean,True,1.0,0.97084
