backbone,roi_pooled,gates,coverage,acc_worst,acc_best,threshold,review_rate
dinov2,False,,0.499,1.0,1.0,0.9949,0.501
dinov2,False,,0.7006,0.9918,0.9918,0.9846,0.2994
dinov2,False,,0.8004,0.9856,0.9856,0.9693,0.1996
dinov2,False,,0.9002,0.9701,0.9701,0.9141,0.0998
dinov2,False,,0.9501,0.9616,0.9616,0.8444,0.0499
dinov2,False,,1.0,0.9386,0.9386,0.5366,0.0
dinov2,True,,0.499,0.9846,0.9846,0.996,0.501
dinov2,True,,0.7006,0.9699,0.9699,0.9869,0.2994
dinov2,True,,0.8004,0.9664,0.9664,0.9747,0.1996
dinov2,True,,0.9002,0.9595,0.9595,0.9473,0.0998
dinov2,True,,0.9501,0.9515,0.9515,0.8896,0.0499
dinov2,True,,1.0,0.9367,0.9367,0.5555,0.0
dinov2,False,False,0.499,1.0,1.0,0.9949,0.501
dinov2,False,False,0.7006,0.9918,0.9918,0.9846,0.2994
dinov2,False,False,0.8004,0.9856,0.9856,0.9693,0.1996
dinov2,False,False,0.9002,0.9701,0.9701,0.9141,0.0998
dinov2,False,False,0.9501,0.9616,0.9616,0.8444,0.0499
dinov2,False,False,1.0,0.9386,0.9386,0.5366,0.0
dinov2,False,True,0.499,1.0,1.0,0.9949,0.501
dinov2,False,True,0.7006,0.9918,0.9918,0.9846,0.2994
dinov2,False,True,0.8004,0.9856,0.9856,0.9693,0.1996
dinov2,False,True,0.9002,0.9701,0.9701,0.9141,0.0998
dinov2,False,True,0.9501,0.9616,0.9616,0.8444,0.0499
dinov2,False,True,1.0,0.9386,0.9386,0.5366,0.0
dinov2,False,True,0.499,1.0,1.0,0.9949,0.501
dinov2,False,True,0.7006,0.9918,0.9918,0.9846,0.2994
dinov2,False,True,0.8004,0.9856,0.9856,0.9693,0.1996
dinov2,False,True,0.9002,0.9701,0.9701,0.9141,0.0998
dinov2,False,True,0.9501,0.9616,0.9616,0.8444,0.0499
dinov2,False,True,1.0,0.9386,0.9386,0.5366,0.0
