model,coverage,accuracy_worst,accuracy_best,review_rate,n_tied,largest_tie_group
convnextv2,0.0011,1.0,1.0,0.9989,0,1
convnextv2,0.0176,1.0,1.0,0.9824,0,1
convnextv2,0.0342,1.0,1.0,0.9658,0,1
convnextv2,0.0518,1.0,1.0,0.9482,0,1
convnextv2,0.0684,1.0,1.0,0.9316,0,1
convnextv2,0.0849,1.0,1.0,0.9151,0,1
convnextv2,0.1025,1.0,1.0,0.8975,0,1
convnextv2,0.1191,1.0,1.0,0.8809,0,1
convnextv2,0.1356,1.0,1.0,0.8644,0,1
convnextv2,0.1533,1.0,1.0,0.8467,0,1
convnextv2,0.1698,1.0,1.0,0.8302,0,1
convnextv2,0.1863,1.0,1.0,0.8137,0,1
convnextv2,0.204,1.0,1.0,0.796,0,1
convnextv2,0.2205,1.0,1.0,0.7795,0,1
convnextv2,0.237,1.0,1.0,0.763,0,1
convnextv2,0.2547,1.0,1.0,0.7453,0,1
convnextv2,0.2712,1.0,1.0,0.7288,0,1
convnextv2,0.2889,1.0,1.0,0.7111,0,1
convnextv2,0.3054,1.0,1.0,0.6946,0,1
convnextv2,0.3219,1.0,1.0,0.6781,0,1
convnextv2,0.3396,1.0,1.0,0.6604,0,1
convnextv2,0.3561,1.0,1.0,0.6439,0,1
convnextv2,0.3727,1.0,1.0,0.6273,0,1
convnextv2,0.3903,1.0,1.0,0.6097,0,1
convnextv2,0.4068,1.0,1.0,0.5932,0,1
convnextv2,0.4234,1.0,1.0,0.5766,0,1
convnextv2,0.441,1.0,1.0,0.559,0,1
convnextv2,0.4576,1.0,1.0,0.5424,0,1
convnextv2,0.4741,1.0,1.0,0.5259,0,1
convnextv2,0.4917,1.0,1.0,0.5083,0,1
convnextv2,0.5083,1.0,1.0,0.4917,0,1
convnextv2,0.5259,1.0,1.0,0.4741,0,1
convnextv2,0.5424,1.0,1.0,0.4576,0,1
convnextv2,0.559,1.0,1.0,0.441,0,1
convnextv2,0.5766,1.0,1.0,0.4234,0,1
convnextv2,0.5932,1.0,1.0,0.4068,0,1
convnextv2,0.6097,1.0,1.0,0.3903,0,1
convnextv2,0.6273,1.0,1.0,0.3727,0,1
convnextv2,0.6439,1.0,1.0,0.3561,0,1
convnextv2,0.6604,1.0,1.0,0.3396,0,1
convnextv2,0.6781,1.0,1.0,0.3219,0,1
convnextv2,0.6946,1.0,1.0,0.3054,0,1
convnextv2,0.7111,1.0,1.0,0.2889,0,1
convnextv2,0.7288,1.0,1.0,0.2712,0,1
convnextv2,0.7453,1.0,1.0,0.2547,0,1
convnextv2,0.763,1.0,1.0,0.237,0,1
convnextv2,0.7795,1.0,1.0,0.2205,0,1
convnextv2,0.796,1.0,1.0,0.204,0,1
convnextv2,0.8137,1.0,1.0,0.1863,0,1
convnextv2,0.8302,1.0,1.0,0.1698,0,1
convnextv2,0.8467,1.0,1.0,0.1533,0,1
convnextv2,0.8644,1.0,1.0,0.1356,0,1
convnextv2,0.8809,1.0,1.0,0.1191,0,1
convnextv2,0.8975,1.0,1.0,0.1025,0,1
convnextv2,0.9151,0.9976,0.9976,0.0849,0,1
convnextv2,0.9316,0.9964,0.9964,0.0684,0,1
convnextv2,0.9482,0.9953,0.9953,0.0518,0,1
convnextv2,0.9658,0.9943,0.9943,0.0342,0,1
convnextv2,0.9824,0.991,0.991,0.0176,0,1
convnextv2,1.0,0.9901,0.9901,0.0,0,1
dinov2,0.0011,0.0,1.0,0.9989,890,890
dinov2,0.0176,0.5,1.0,0.9824,890,890
dinov2,0.0342,0.7419,1.0,0.9658,890,890
dinov2,0.0518,0.8298,1.0,0.9482,890,890
dinov2,0.0684,0.871,1.0,0.9316,890,890
dinov2,0.0849,0.8961,1.0,0.9151,890,890
dinov2,0.1025,0.914,1.0,0.8975,890,890
dinov2,0.1191,0.9259,1.0,0.8809,890,890
dinov2,0.1356,0.935,1.0,0.8644,890,890
dinov2,0.1533,0.9424,1.0,0.8467,890,890
dinov2,0.1698,0.9481,1.0,0.8302,890,890
dinov2,0.1863,0.9527,1.0,0.8137,890,890
dinov2,0.204,0.9568,1.0,0.796,890,890
dinov2,0.2205,0.96,1.0,0.7795,890,890
dinov2,0.237,0.9628,1.0,0.763,890,890
dinov2,0.2547,0.9654,1.0,0.7453,890,890
dinov2,0.2712,0.9675,1.0,0.7288,890,890
dinov2,0.2889,0.9695,1.0,0.7111,890,890
dinov2,0.3054,0.9711,1.0,0.6946,890,890
dinov2,0.3219,0.9726,1.0,0.6781,890,890
dinov2,0.3396,0.974,1.0,0.6604,890,890
dinov2,0.3561,0.9752,1.0,0.6439,890,890
dinov2,0.3727,0.9763,1.0,0.6273,890,890
dinov2,0.3903,0.9774,1.0,0.6097,890,890
dinov2,0.4068,0.9783,1.0,0.5932,890,890
dinov2,0.4234,0.9792,1.0,0.5766,890,890
dinov2,0.441,0.98,1.0,0.559,890,890
dinov2,0.4576,0.9807,1.0,0.5424,890,890
dinov2,0.4741,0.9814,1.0,0.5259,890,890
dinov2,0.4917,0.9821,1.0,0.5083,890,890
dinov2,0.5083,0.9826,1.0,0.4917,890,890
dinov2,0.5259,0.9832,1.0,0.4741,890,890
dinov2,0.5424,0.9837,1.0,0.4576,890,890
dinov2,0.559,0.9842,1.0,0.441,890,890
dinov2,0.5766,0.9847,1.0,0.4234,890,890
dinov2,0.5932,0.9851,1.0,0.4068,890,890
dinov2,0.6097,0.9855,1.0,0.3903,890,890
dinov2,0.6273,0.9859,1.0,0.3727,890,890
dinov2,0.6439,0.9863,1.0,0.3561,890,890
dinov2,0.6604,0.9866,1.0,0.3396,890,890
dinov2,0.6781,0.987,1.0,0.3219,890,890
dinov2,0.6946,0.9873,1.0,0.3054,890,890
dinov2,0.7111,0.9876,1.0,0.2889,890,890
dinov2,0.7288,0.9879,1.0,0.2712,890,890
dinov2,0.7453,0.9882,1.0,0.2547,890,890
dinov2,0.763,0.9884,1.0,0.237,890,890
dinov2,0.7795,0.9887,1.0,0.2205,890,890
dinov2,0.796,0.9889,1.0,0.204,890,890
dinov2,0.8137,0.9892,1.0,0.1863,890,890
dinov2,0.8302,0.9894,1.0,0.1698,890,890
dinov2,0.8467,0.9896,1.0,0.1533,890,890
dinov2,0.8644,0.9898,1.0,0.1356,890,890
dinov2,0.8809,0.99,1.0,0.1191,890,890
dinov2,0.8975,0.9902,1.0,0.1025,890,890
dinov2,0.9151,0.9904,1.0,0.0849,890,890
dinov2,0.9316,0.9905,1.0,0.0684,890,890
dinov2,0.9482,0.9907,1.0,0.0518,890,890
dinov2,0.9658,0.9909,1.0,0.0342,890,890
dinov2,0.9824,0.9899,0.9899,0.0176,890,890
dinov2,1.0,0.9857,0.9857,0.0,890,890
vit,0.0011,1.0,1.0,0.9989,0,1
vit,0.0176,1.0,1.0,0.9824,0,1
vit,0.0342,1.0,1.0,0.9658,0,1
vit,0.0518,1.0,1.0,0.9482,0,1
vit,0.0684,1.0,1.0,0.9316,0,1
vit,0.0849,1.0,1.0,0.9151,0,1
vit,0.1025,1.0,1.0,0.8975,0,1
vit,0.1191,1.0,1.0,0.8809,0,1
vit,0.1356,1.0,1.0,0.8644,0,1
vit,0.1533,1.0,1.0,0.8467,0,1
vit,0.1698,1.0,1.0,0.8302,0,1
vit,0.1863,1.0,1.0,0.8137,0,1
vit,0.204,1.0,1.0,0.796,0,1
vit,0.2205,1.0,1.0,0.7795,0,1
vit,0.237,1.0,1.0,0.763,0,1
vit,0.2547,1.0,1.0,0.7453,0,1
vit,0.2712,1.0,1.0,0.7288,0,1
vit,0.2889,1.0,1.0,0.7111,0,1
vit,0.3054,1.0,1.0,0.6946,0,1
vit,0.3219,1.0,1.0,0.6781,0,1
vit,0.3396,1.0,1.0,0.6604,0,1
vit,0.3561,1.0,1.0,0.6439,0,1
vit,0.3727,1.0,1.0,0.6273,0,1
vit,0.3903,1.0,1.0,0.6097,0,1
vit,0.4068,1.0,1.0,0.5932,0,1
vit,0.4234,1.0,1.0,0.5766,0,1
vit,0.441,1.0,1.0,0.559,0,1
vit,0.4576,1.0,1.0,0.5424,0,1
vit,0.4741,1.0,1.0,0.5259,0,1
vit,0.4917,1.0,1.0,0.5083,0,1
vit,0.5083,1.0,1.0,0.4917,0,1
vit,0.5259,1.0,1.0,0.4741,0,1
