arm,venue,truth,truth_folder,predicted,n,exact
clock_rule,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,168,True
clock_rule,clipvenue_d_indoor_dome,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,18,True
clock_rule,clipvenue_e_pink_boards,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,18,True
clock_rule,clipvenue_f_outdoor_bldg,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,12,True
clock_rule,clipvenue_g_netting,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,30,True
clock_rule,clipvenue_h_teal_pitch,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,18,True
clock_rule,clipvenue_i_outdoor_trees,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,18,True
clock_rule,venue_01,C1_EMPTY,1_empty,C1_EMPTY,238,True
clock_rule,venue_01,C1_EMPTY,1_empty,C2_ACTIVE_PLAY,5,False
clock_rule,venue_01,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,278,True
dinov2,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,2_playing,C1_EMPTY,8,False
dinov2,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,160,True
dinov2,clipvenue_d_indoor_dome,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,18,True
dinov2,clipvenue_e_pink_boards,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,18,True
dinov2,clipvenue_f_outdoor_bldg,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,12,True
dinov2,clipvenue_g_netting,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,30,True
dinov2,clipvenue_h_teal_pitch,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,12,True
dinov2,clipvenue_h_teal_pitch,C2_ACTIVE_PLAY,2_playing,C3_MAINTENANCE_NON_SPORTING,6,False
dinov2,clipvenue_i_outdoor_trees,C2_ACTIVE_PLAY,2_playing,C1_EMPTY,2,False
dinov2,clipvenue_i_outdoor_trees,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,16,True
dinov2,venue_01,C1_EMPTY,1_empty,C2_ACTIVE_PLAY,75,False
dinov2,venue_01,C1_EMPTY,1_empty,C3_MAINTENANCE_NON_SPORTING,168,False
dinov2,venue_01,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,278,True
dinov2_gated,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,2_playing,C1_EMPTY,8,False
dinov2_gated,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,159,True
dinov2_gated,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,2_playing,C3_MAINTENANCE_NON_SPORTING,1,False
dinov2_gated,clipvenue_d_indoor_dome,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,18,True
dinov2_gated,clipvenue_e_pink_boards,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,18,True
dinov2_gated,clipvenue_f_outdoor_bldg,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,12,True
dinov2_gated,clipvenue_g_netting,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,30,True
dinov2_gated,clipvenue_h_teal_pitch,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,12,True
dinov2_gated,clipvenue_h_teal_pitch,C2_ACTIVE_PLAY,2_playing,C3_MAINTENANCE_NON_SPORTING,6,False
dinov2_gated,clipvenue_i_outdoor_trees,C2_ACTIVE_PLAY,2_playing,C1_EMPTY,2,False
dinov2_gated,clipvenue_i_outdoor_trees,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,16,True
dinov2_gated,venue_01,C1_EMPTY,1_empty,C1_EMPTY,216,True
dinov2_gated,venue_01,C1_EMPTY,1_empty,C2_ACTIVE_PLAY,3,False
dinov2_gated,venue_01,C1_EMPTY,1_empty,C3_MAINTENANCE_NON_SPORTING,24,False
dinov2_gated,venue_01,C2_ACTIVE_PLAY,2_playing,C1_EMPTY,1,False
dinov2_gated,venue_01,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,277,True
detector_first,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,54,True
detector_first,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,2_playing,C3_MAINTENANCE_NON_SPORTING,114,False
detector_first,clipvenue_d_indoor_dome,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,4,True
detector_first,clipvenue_d_indoor_dome,C2_ACTIVE_PLAY,2_playing,C3_MAINTENANCE_NON_SPORTING,14,False
detector_first,clipvenue_e_pink_boards,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,16,True
detector_first,clipvenue_e_pink_boards,C2_ACTIVE_PLAY,2_playing,C3_MAINTENANCE_NON_SPORTING,2,False
detector_first,clipvenue_f_outdoor_bldg,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,2,True
detector_first,clipvenue_f_outdoor_bldg,C2_ACTIVE_PLAY,2_playing,C3_MAINTENANCE_NON_SPORTING,10,False
detector_first,clipvenue_g_netting,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,9,True
detector_first,clipvenue_g_netting,C2_ACTIVE_PLAY,2_playing,C3_MAINTENANCE_NON_SPORTING,21,False
detector_first,clipvenue_h_teal_pitch,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,3,True
detector_first,clipvenue_h_teal_pitch,C2_ACTIVE_PLAY,2_playing,C3_MAINTENANCE_NON_SPORTING,15,False
detector_first,clipvenue_i_outdoor_trees,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,2,True
detector_first,clipvenue_i_outdoor_trees,C2_ACTIVE_PLAY,2_playing,C3_MAINTENANCE_NON_SPORTING,16,False
