arm,truth,predicted,n,exact,accepted_confusion
clock_rule,1_empty,1_empty,238,True,False
clock_rule,1_empty,2_playing,5,False,False
clock_rule,2_playing,2_playing,560,True,False
dinov2,1_empty,2_playing,75,False,False
dinov2,1_empty,3_people_not_playing,168,False,False
dinov2,2_playing,1_empty,10,False,False
dinov2,2_playing,2_playing,544,True,False
dinov2,2_playing,3_people_not_playing,6,False,False
dinov2_gated,1_empty,1_empty,216,True,False
dinov2_gated,1_empty,2_playing,3,False,False
dinov2_gated,1_empty,3_people_not_playing,24,False,False
dinov2_gated,2_playing,1_empty,11,False,False
dinov2_gated,2_playing,2_playing,542,True,False
dinov2_gated,2_playing,3_people_not_playing,7,False,False
detector_first,1_empty,1_empty,467,True,False
detector_first,1_empty,3_people_not_playing,27,False,False
detector_first,2_playing,1_empty,68,False,False
detector_first,2_playing,2_playing,496,True,False
detector_first,2_playing,3_people_not_playing,514,False,False
detector_first,3_people_not_playing,1_empty,3,False,False
detector_first,3_people_not_playing,3_people_not_playing,3,True,True
