slot,t_s,truth,camA_state,camA_people,camB_state,camB_people,pitch_people,pitch_state,pitch_confidence,ball,correct_alone_camA,correct_alone_camB,correct_fused
slot_20260711_1000,29,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,True,True,True,True
slot_20260711_1000,44,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,True,True,True,True
slot_20260711_1000,59,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,True,True,True,True
slot_20260711_1000,74,1_empty,C1_EMPTY,0,C3_MAINTENANCE_NON_SPORTING,2,2,C3_MAINTENANCE_NON_SPORTING,0.6,True,True,False,False
slot_20260711_1000,89,1_empty,C1_EMPTY,0,C3_MAINTENANCE_NON_SPORTING,1,1,C3_MAINTENANCE_NON_SPORTING,0.7,True,True,False,False
slot_20260711_1000,104,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,True,True,True,True
slot_20260711_1000,119,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,True,True,True,True
slot_20260711_1000,134,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,True,True,True,True
slot_20260711_1000,149,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,True,True,True,True
slot_20260711_1000,164,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,True,True,True,True
slot_20260711_1000,179,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,True,True,True,True
slot_20260711_1000,194,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,True,True,True,True
slot_20260711_1000,209,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,True,True,True,True
slot_20260711_1000,224,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,True,True,True,True
slot_20260711_1000,254,1_empty,C1_EMPTY,0,C3_MAINTENANCE_NON_SPORTING,1,1,C3_MAINTENANCE_NON_SPORTING,0.7,True,True,False,False
slot_20260711_1000,284,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,299,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,True,True,True,True
slot_20260711_1000,314,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,329,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,344,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,359,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,374,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,389,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,404,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,419,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,434,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,449,1_empty,C1_EMPTY,0,C3_MAINTENANCE_NON_SPORTING,1,1,C3_MAINTENANCE_NON_SPORTING,0.9,False,True,False,False
slot_20260711_1000,464,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,479,1_empty,C1_EMPTY,0,C3_MAINTENANCE_NON_SPORTING,1,1,C3_MAINTENANCE_NON_SPORTING,0.9,False,True,False,False
slot_20260711_1000,524,1_empty,C1_EMPTY,0,C3_MAINTENANCE_NON_SPORTING,3,3,C3_MAINTENANCE_NON_SPORTING,0.7,False,True,False,False
slot_20260711_1000,539,1_empty,C1_EMPTY,0,C3_MAINTENANCE_NON_SPORTING,2,2,C3_MAINTENANCE_NON_SPORTING,0.8,False,True,False,False
slot_20260711_1000,554,1_empty,C1_EMPTY,0,C3_MAINTENANCE_NON_SPORTING,2,2,C3_MAINTENANCE_NON_SPORTING,0.8,False,True,False,False
slot_20260711_1000,569,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,584,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,599,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,614,1_empty,C1_EMPTY,0,C3_MAINTENANCE_NON_SPORTING,2,2,C3_MAINTENANCE_NON_SPORTING,0.8,False,True,False,False
slot_20260711_1000,629,1_empty,C1_EMPTY,0,C3_MAINTENANCE_NON_SPORTING,3,3,C3_MAINTENANCE_NON_SPORTING,0.7,False,True,False,False
slot_20260711_1000,644,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,659,1_empty,C1_EMPTY,0,C3_MAINTENANCE_NON_SPORTING,3,3,C3_MAINTENANCE_NON_SPORTING,0.7,False,True,False,False
slot_20260711_1000,674,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,689,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,704,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,719,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,734,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,749,1_empty,C1_EMPTY,0,C3_MAINTENANCE_NON_SPORTING,1,1,C3_MAINTENANCE_NON_SPORTING,0.9,False,True,False,False
slot_20260711_1000,764,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,779,1_empty,C1_EMPTY,0,C3_MAINTENANCE_NON_SPORTING,1,1,C3_MAINTENANCE_NON_SPORTING,0.9,False,True,False,False
slot_20260711_1000,794,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,809,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,824,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,839,1_empty,C1_EMPTY,0,C3_MAINTENANCE_NON_SPORTING,1,1,C3_MAINTENANCE_NON_SPORTING,0.9,False,True,False,False
slot_20260711_1000,854,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,869,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,884,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,899,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,914,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,929,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,944,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,959,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,974,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,989,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,1054,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,1963,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,1978,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260711_1000,1993,1_empty,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,False,True,True,True
slot_20260712_2030,0,2_playing,C2_ACTIVE_PLAY,6,C3_MAINTENANCE_NON_SPORTING,2,8,C2_ACTIVE_PLAY,0.95,True,True,False,True
slot_20260712_2030,14,2_playing,C2_ACTIVE_PLAY,6,C3_MAINTENANCE_NON_SPORTING,1,7,C2_ACTIVE_PLAY,0.9,True,True,False,True
slot_20260712_2030,29,2_playing,C3_MAINTENANCE_NON_SPORTING,2,C3_MAINTENANCE_NON_SPORTING,4,6,C2_ACTIVE_PLAY,0.85,True,False,False,True
slot_20260712_2030,44,2_playing,C3_MAINTENANCE_NON_SPORTING,2,C3_MAINTENANCE_NON_SPORTING,3,5,C2_ACTIVE_PLAY,0.8,True,False,False,True
slot_20260712_2030,59,2_playing,C1_EMPTY,0,C1_EMPTY,0,0,C1_EMPTY,1.0,True,False,False,False
slot_20260712_2030,89,2_playing,C3_MAINTENANCE_NON_SPORTING,2,C1_EMPTY,0,2,C3_MAINTENANCE_NON_SPORTING,0.6,True,False,False,False
slot_20260712_2030,104,2_playing,C3_MAINTENANCE_NON_SPORTING,4,C1_EMPTY,0,4,C3_MAINTENANCE_NON_SPORTING,0.4,True,False,False,False
slot_20260712_2030,119,2_playing,C3_MAINTENANCE_NON_SPORTING,3,C1_EMPTY,0,3,C3_MAINTENANCE_NON_SPORTING,0.5,True,False,False,False
slot_20260712_2030,134,2_playing,C3_MAINTENANCE_NON_SPORTING,3,C1_EMPTY,0,3,C3_MAINTENANCE_NON_SPORTING,0.5,True,False,False,False
slot_20260712_2030,149,2_playing,C3_MAINTENANCE_NON_SPORTING,2,C3_MAINTENANCE_NON_SPORTING,1,3,C3_MAINTENANCE_NON_SPORTING,0.5,True,False,False,False
slot_20260712_2030,164,2_playing,C3_MAINTENANCE_NON_SPORTING,4,C3_MAINTENANCE_NON_SPORTING,2,6,C2_ACTIVE_PLAY,0.85,True,False,False,True
slot_20260712_2030,179,2_playing,C2_ACTIVE_PLAY,5,C3_MAINTENANCE_NON_SPORTING,1,6,C2_ACTIVE_PLAY,0.85,True,True,False,True
slot_20260712_2030,194,2_playing,C2_ACTIVE_PLAY,14,C1_EMPTY,0,14,C2_ACTIVE_PLAY,1.0,True,True,False,True
slot_20260712_2030,209,2_playing,C2_ACTIVE_PLAY,10,C3_MAINTENANCE_NON_SPORTING,1,11,C2_ACTIVE_PLAY,1.0,True,True,False,True
slot_20260712_2030,224,2_playing,C3_MAINTENANCE_NON_SPORTING,3,C3_MAINTENANCE_NON_SPORTING,2,5,C2_ACTIVE_PLAY,0.8,True,False,False,True
slot_20260712_2030,239,2_playing,C2_ACTIVE_PLAY,5,C2_ACTIVE_PLAY,5,10,C2_ACTIVE_PLAY,1.0,True,True,True,True
slot_20260712_2030,254,2_playing,C2_ACTIVE_PLAY,9,C3_MAINTENANCE_NON_SPORTING,2,11,C2_ACTIVE_PLAY,1.0,True,True,False,True
slot_20260712_2030,269,2_playing,C2_ACTIVE_PLAY,7,C3_MAINTENANCE_NON_SPORTING,2,9,C2_ACTIVE_PLAY,1.0,True,True,False,True
slot_20260712_2030,284,2_playing,C2_ACTIVE_PLAY,11,C3_MAINTENANCE_NON_SPORTING,1,12,C2_ACTIVE_PLAY,1.0,True,True,False,True
slot_20260712_2030,299,2_playing,C2_ACTIVE_PLAY,9,C3_MAINTENANCE_NON_SPORTING,1,10,C2_ACTIVE_PLAY,1.0,True,True,False,True
slot_20260712_2030,310,2_playing,C2_ACTIVE_PLAY,6,C3_MAINTENANCE_NON_SPORTING,2,8,C2_ACTIVE_PLAY,0.95,True,True,False,True
