model,round,describe,hash,unweighted,weighted,ci_low,ci_high,worst_fold,false_play,published_recall
convnextv2,0,baseline,5565eefa9a9f,0.9841,0.9929,0.9524,1.0,0.8889,0.0206,0.9841
convnextv2,1,undistort=0.15,4c7bf06ae73e,0.9396,0.9752,0.869,0.9921,0.75,0.0165,0.9396
convnextv2,1,undistort=0.3,ae0c74e2f591,0.8651,0.9397,0.627,1.0,0.1667,0.0041,0.8651
convnextv2,1,centre_crop=0.5,a5abd62d48c3,0.9552,0.961,0.8759,1.0,0.7222,1.0,0.9552
convnextv2,1,centre_crop=0.7,f4ef48bad0c2,0.9563,0.9823,0.8929,1.0,0.7778,0.0,0.9563
convnextv2,1,top_crop=0.2,63784e9b2ae8,0.9167,0.9752,0.75,1.0,0.4167,0.0206,0.9167
convnextv2,1,top_crop=0.35,278574b0b22f,0.8917,0.8723,0.796,0.9762,0.7,0.9959,0.8917
convnextv2,1,letterbox=False,aa4c20b8299c,0.9165,0.9468,0.8514,0.9736,0.7667,0.0,0.9165
convnextv2,1,per_image_standardise=True,72c25fb71782,0.9541,0.8972,0.9044,1.0,0.8333,0.0123,0.9541
convnextv2,1,clahe=on,cd241798ac2d,0.9348,0.9574,0.8554,0.9983,0.7222,0.6132,0.9348
convnextv2,1,clahe=auto,c24f1ca3fd02,0.9561,0.9645,0.8767,1.0,0.7222,0.0741,0.9561
convnextv2,1,gamma=0.7,de4bb7955876,0.9151,0.9149,0.8421,0.9786,0.7778,0.0206,0.9151
convnextv2,1,gamma=1.4,b6d1f25499e0,0.9349,0.9681,0.8397,0.9921,0.6667,1.0,0.9349
convnextv2,1,saturation=0.0,77d75335572e,0.8738,0.9433,0.731,0.981,0.5,0.2305,0.8738
convnextv2,1,saturation=0.5,410fda2c48ba,0.9983,0.9929,0.9949,1.0,0.9881,0.0947,0.9983
convnextv2,1,denoise=25.0,e429c9237451,0.9841,0.9929,0.9603,1.0,0.9444,0.9218,0.9841
convnextv2,1,sharpen=0.6,af664a4e32b7,0.9991,0.9965,0.9974,1.0,0.994,0.2757,0.9991
convnextv2,2,undistort=0.15 sharpen=0.6,ef726e22de16,0.945,0.9645,0.8849,0.9898,0.7778,0.0412,0.945
convnextv2,2,undistort=0.3 sharpen=0.6,901b5511c027,0.9076,0.9397,0.733,1.0,0.3889,0.0041,0.9076
convnextv2,2,centre_crop=0.5 sharpen=0.6,89455b48fee6,0.7841,0.9007,0.4984,0.9905,0.0,0.1193,0.7841
convnextv2,2,centre_crop=0.7 sharpen=0.6,2b8d3f6c1095,0.9524,0.9716,0.9048,1.0,0.8333,0.0,0.9524
