idx,file,timestamp_score,warm_score,size,flag
1,Gemini_Generated_Image_13b19o13b19o13b1.jpeg,0.01077,-42.0,1356x768,REJECT
2,Gemini_Generated_Image_1d2g9k1d2g9k1d2g.jpeg,0.00024,-7.3,1364x768,review
3,Gemini_Generated_Image_1l1k1i1l1k1i1l1k.jpeg,0.00768,-21.3,1408x768,REJECT
4,Gemini_Generated_Image_1rbu4j1rbu4j1rbu.jpeg,0.00533,-19.0,1364x768,REJECT
5,Gemini_Generated_Image_230t1a230t1a230t.jpeg,0.02643,-12.3,1371x768,REJECT
6,Gemini_Generated_Image_23j24o23j24o23j2.jpeg,0.0,-14.2,1364x768,review
7,Gemini_Generated_Image_2pdjua2pdjua2pdj.jpeg,0.0,-3.5,1366x768,review
8,Gemini_Generated_Image_2sq69u2sq69u2sq6.jpeg,0.0,-3.3,1366x768,review
9,Gemini_Generated_Image_3i2sb13i2sb13i2s.jpeg,0.0,-9.2,1356x768,review
10,Gemini_Generated_Image_3l4nug3l4nug3l4n.jpeg,2e-05,35.7,1356x768,REJECT
11,Gemini_Generated_Image_3r9jdg3r9jdg3r9j.jpeg,0.0,-3.6,1371x768,review
12,Gemini_Generated_Image_3ufry93ufry93ufr.jpeg,0.0,-8.8,1356x768,review
13,Gemini_Generated_Image_40uado40uado40ua.jpeg,0.0,-7.5,1356x768,review
14,Gemini_Generated_Image_4axxtc4axxtc4axx.jpeg,0.00814,-10.0,1356x768,REJECT
15,Gemini_Generated_Image_4u2fnt4u2fnt4u2f.jpeg,0.00083,-7.1,1364x768,review
16,Gemini_Generated_Image_5c6nts5c6nts5c6n.jpeg,0.0,-3.6,1371x768,review
17,Gemini_Generated_Image_5je4325je4325je4.jpeg,0.00038,-6.5,1364x768,review
18,Gemini_Generated_Image_61h11z61h11z61h1.jpeg,0.0,-8.6,1356x768,review
19,Gemini_Generated_Image_6bibmc6bibmc6bib.jpeg,0.0,-8.4,1364x768,review
20,Gemini_Generated_Image_6l7xqb6l7xqb6l7x.jpeg,0.00268,69.3,1356x768,REJECT
21,Gemini_Generated_Image_6mwut16mwut16mwu.jpeg,5e-05,-10.4,1364x768,review
22,Gemini_Generated_Image_6o2u46o2u46o2u46.jpeg,2e-05,-6.3,1364x768,review
23,Gemini_Generated_Image_7md21z7md21z7md2.jpeg,0.02775,36.6,1408x768,REJECT
24,Gemini_Generated_Image_7z2tc97z2tc97z2t.jpeg,0.0,-2.8,1366x768,review
25,Gemini_Generated_Image_8nfi9z8nfi9z8nfi.jpeg,0.0,-3.2,1366x768,review
26,Gemini_Generated_Image_8oux5j8oux5j8oux.jpeg,0.03079,-11.2,1408x768,REJECT
27,Gemini_Generated_Image_98ialq98ialq98ia.jpeg,0.01817,-4.9,1356x768,REJECT
28,Gemini_Generated_Image_aosko1aosko1aosk.jpeg,0.0,-2.9,1366x768,review
29,Gemini_Generated_Image_b8ug0ib8ug0ib8ug.jpeg,0.0,-2.6,1366x768,review
30,Gemini_Generated_Image_bdd4eubdd4eubdd4.jpeg,0.02502,-6.0,1356x768,REJECT
31,Gemini_Generated_Image_bm683mbm683mbm68.jpeg,0.0,-4.4,1366x768,review
32,Gemini_Generated_Image_c3d05zc3d05zc3d0.jpeg,0.0,-2.8,1364x768,review
33,Gemini_Generated_Image_c8wiclc8wiclc8wi.jpeg,0.0,-2.2,1366x768,review
34,Gemini_Generated_Image_cc9hjlcc9hjlcc9h.jpeg,0.0,-10.2,1356x768,review
35,Gemini_Generated_Image_ce8ctwce8ctwce8c.jpeg,0.0,28.2,1366x768,REJECT
36,Gemini_Generated_Image_cmytaicmytaicmyt.jpeg,0.00225,9.3,1356x768,review
37,Gemini_Generated_Image_cpgabcpgabcpgabc.jpeg,0.0,-7.4,1364x768,review
38,Gemini_Generated_Image_e2j2pke2j2pke2j2.jpeg,0.05116,-36.1,1408x768,REJECT
39,Gemini_Generated_Image_f4yuaqf4yuaqf4yu.jpeg,0.0,-3.4,1366x768,review
40,Gemini_Generated_Image_fc2vq1fc2vq1fc2v.jpeg,0.05825,-29.1,1408x768,REJECT
41,Gemini_Generated_Image_fgchfxfgchfxfgch.jpeg,2e-05,-9.0,1364x768,review
42,Gemini_Generated_Image_fs682vfs682vfs68.jpeg,0.0,34.6,1356x768,REJECT
43,Gemini_Generated_Image_fsloxmfsloxmfslo.jpeg,0.00493,-9.6,1364x768,REJECT
44,Gemini_Generated_Image_ft4gelft4gelft4g.jpeg,0.02448,-12.5,1356x768,REJECT
45,Gemini_Generated_Image_g3h2jlg3h2jlg3h2.jpeg,0.003,-16.6,1364x768,review
46,Gemini_Generated_Image_g6kepwg6kepwg6ke.jpeg,0.0,-3.0,1366x768,review
47,Gemini_Generated_Image_gewm2rgewm2rgewm.jpeg,0.0,-9.4,1356x768,review
48,Gemini_Generated_Image_gg2g89gg2g89gg2g.jpeg,0.0,-2.2,1366x768,review
49,Gemini_Generated_Image_glug44glug44glug.jpeg,0.0,-4.3,1366x768,review
50,Gemini_Generated_Image_gz1woigz1woigz1w.jpeg,0.01406,-6.7,1408x768,REJECT
51,Gemini_Generated_Image_h8r57mh8r57mh8r5.jpeg,0.0,-6.6,1364x768,review
52,Gemini_Generated_Image_ilge5tilge5tilge.jpeg,0.04439,-23.6,1408x768,REJECT
53,Gemini_Generated_Image_irrk16irrk16irrk.jpeg,0.05198,-28.9,1408x768,REJECT
54,Gemini_Generated_Image_klzsohklzsohklzs.jpeg,0.0,-8.7,1364x768,review
55,Gemini_Generated_Image_kxoj4rkxoj4rkxoj.jpeg,0.0,-3.2,1366x768,review
56,Gemini_Generated_Image_lbsoyllbsoyllbso.jpeg,0.05913,-12.4,1364x768,REJECT
57,Gemini_Generated_Image_lw56qllw56qllw56 (1).jpeg,0.0,-7.9,1364x768,review
58,Gemini_Generated_Image_lw56qllw56qllw56.jpeg,0.0,-7.9,1364x768,review
59,Gemini_Generated_Image_nn2b39nn2b39nn2b.jpeg,0.0,-9.9,1364x768,review
60,Gemini_Generated_Image_o3minjo3minjo3mi.jpeg,0.0,-9.5,1364x768,review
61,Gemini_Generated_Image_o4m8r4o4m8r4o4m8.jpeg,0.0,-7.4,1356x768,review
62,Gemini_Generated_Image_o91qr7o91qr7o91q.jpeg,2e-05,-7.6,1364x768,review
63,Gemini_Generated_Image_q14e7fq14e7fq14e.jpeg,0.02919,37.3,1408x768,REJECT
64,Gemini_Generated_Image_qfn50iqfn50iqfn5.jpeg,0.0,-8.3,1364x768,review
65,Gemini_Generated_Image_qfoywqqfoywqqfoy.jpeg,0.00047,-5.0,1356x768,review
66,Gemini_Generated_Image_qr6cioqr6cioqr6c.jpeg,0.0,-8.6,1356x768,review
67,Gemini_Generated_Image_rs8sd4rs8sd4rs8s.jpeg,0.07272,-15.0,1364x768,REJECT
68,Gemini_Generated_Image_s0pmups0pmups0pm.jpeg,0.0,-7.6,1364x768,review
69,Gemini_Generated_Image_san9osan9osan9os.jpeg,0.00637,-3.2,1371x768,REJECT
70,Gemini_Generated_Image_skg1vfskg1vfskg1.jpeg,0.0,2.0,1364x768,review
71,Gemini_Generated_Image_tqf8i0tqf8i0tqf8.jpeg,0.0,-9.1,1356x768,review
72,Gemini_Generated_Image_ud5phcud5phcud5p.jpeg,0.00222,-7.7,1364x768,review
73,Gemini_Generated_Image_uhwxgeuhwxgeuhwx.jpeg,0.0,-8.7,1356x768,review
74,Gemini_Generated_Image_v35s7lv35s7lv35s.jpeg,0.0,-20.2,1371x768,review
75,Gemini_Generated_Image_v6dfydv6dfydv6df.jpeg,0.0,-7.6,1364x768,review
76,Gemini_Generated_Image_vjy9flvjy9flvjy9.jpeg,0.00617,-101.3,1356x768,REJECT
77,Gemini_Generated_Image_vl9nodvl9nodvl9n.jpeg,0.00523,-3.8,1366x768,REJECT
78,Gemini_Generated_Image_vznt13vznt13vznt.jpeg,0.0,-1.2,1366x768,review
79,Gemini_Generated_Image_xlyfcwxlyfcwxlyf.jpeg,0.0,-2.8,1366x768,review
80,Gemini_Generated_Image_xmpwinxmpwinxmpw.jpeg,0.0,-10.0,1364x768,review
81,Gemini_Generated_Image_xqsroxxqsroxxqsr.jpeg,0.0,-9.8,1364x768,review
82,Gemini_Generated_Image_y31ba1y31ba1y31b.jpeg,0.0,-9.8,1364x768,review
83,Gemini_Generated_Image_zh22wlzh22wlzh22.jpeg,0.03166,-13.5,1408x768,REJECT
