t_s,verdict,confidence,motion,polygon
0.0,ACTIVE_PLAY,0.9315,,cam2
10.0,ACTIVE_PLAY,0.9741,2.0216,cam2
20.0,ACTIVE_PLAY,0.931,1.0271,cam2
29.9,ACTIVE_PLAY,0.9887,0.9937,cam2
39.9,ACTIVE_PLAY,0.7417,0.9887,cam2
49.9,ACTIVE_PLAY,0.8286,1.03,cam2
59.9,ACTIVE_PLAY,0.6638,1.4652,cam2
69.8,ACTIVE_PLAY,0.9695,0.9672,cam2
79.8,EMPTY,0.5729,0.9601,cam2
89.8,EMPTY,0.9622,0.9676,cam2
99.8,ACTIVE_PLAY,0.6361,0.9675,cam2
109.7,ACTIVE_PLAY,0.6399,0.9175,cam2
119.7,EMPTY,0.91,0.883,cam2
129.7,EMPTY,0.989,1.5667,cam2
139.7,ACTIVE_PLAY,0.9995,0.9583,cam2
149.6,EMPTY,0.9825,0.9598,cam2
159.6,ACTIVE_PLAY,0.8622,0.9067,cam2
169.6,EMPTY,0.9581,0.9044,cam2
179.6,ACTIVE_PLAY,0.5862,1.0204,cam2
189.5,ACTIVE_PLAY,0.8116,1.701,cam2
199.5,ACTIVE_PLAY,0.9214,0.9183,cam2
209.5,ACTIVE_PLAY,0.9818,1.0069,cam2
219.5,EMPTY,0.985,1.1973,cam2
229.4,ACTIVE_PLAY,0.9968,1.3353,cam2
