t_s,verdict,confidence,motion,polygon
0.0,ACTIVE_PLAY,0.6565,,derive
10.0,ACTIVE_PLAY,0.8445,2.0216,derive
20.0,ACTIVE_PLAY,0.6614,1.0271,derive
29.9,ACTIVE_PLAY,0.8974,0.9937,derive
39.9,EMPTY,0.6325,0.9887,derive
49.9,EMPTY,0.6508,1.03,derive
59.9,EMPTY,0.5767,1.4652,derive
69.8,ACTIVE_PLAY,0.8682,0.9672,derive
79.8,EMPTY,0.9373,0.9601,derive
89.8,EMPTY,0.9858,0.9676,derive
99.8,EMPTY,0.6076,0.9675,derive
109.7,EMPTY,0.7736,0.9175,derive
119.7,EMPTY,0.9746,0.883,derive
129.7,EMPTY,0.9982,1.5667,derive
139.7,ACTIVE_PLAY,0.9917,0.9583,derive
149.6,EMPTY,0.9978,0.9598,derive
159.6,EMPTY,0.5072,0.9067,derive
169.6,EMPTY,0.9959,0.9044,derive
179.6,EMPTY,0.8053,1.0204,derive
189.5,EMPTY,0.6825,1.701,derive
199.5,ACTIVE_PLAY,0.6262,0.9183,derive
209.5,ACTIVE_PLAY,0.8768,1.0069,derive
219.5,EMPTY,0.9971,1.1973,derive
229.4,ACTIVE_PLAY,0.994,1.3353,derive
