t_s,verdict,confidence,motion,polygon
0.0,ACTIVE_PLAY,0.9881,,none
10.0,ACTIVE_PLAY,0.9951,2.0216,none
20.0,ACTIVE_PLAY,0.9872,1.0271,none
29.9,ACTIVE_PLAY,0.9981,0.9937,none
39.9,ACTIVE_PLAY,0.9689,0.9887,none
49.9,ACTIVE_PLAY,0.982,1.03,none
59.9,ACTIVE_PLAY,0.9148,1.4652,none
69.8,ACTIVE_PLAY,0.9932,0.9672,none
79.8,ACTIVE_PLAY,0.7888,0.9601,none
89.8,EMPTY,0.9201,0.9676,none
99.8,ACTIVE_PLAY,0.8575,0.9675,none
109.7,ACTIVE_PLAY,0.8355,0.9175,none
119.7,EMPTY,0.6623,0.883,none
129.7,EMPTY,0.9314,1.5667,none
139.7,ACTIVE_PLAY,0.9997,0.9583,none
149.6,EMPTY,0.9209,0.9598,none
159.6,ACTIVE_PLAY,0.9378,0.9067,none
169.6,EMPTY,0.8574,0.9044,none
179.6,ACTIVE_PLAY,0.8518,1.0204,none
189.5,ACTIVE_PLAY,0.9827,1.701,none
199.5,ACTIVE_PLAY,0.9856,0.9183,none
209.5,ACTIVE_PLAY,0.9976,1.0069,none
219.5,EMPTY,0.9187,1.1973,none
229.4,ACTIVE_PLAY,0.9992,1.3353,none
