backbone,class,file,n_people,evidence_on_people,person_area,concentration
dinov2,C1_EMPTY,1_empty/slot_20260711_1000_camA_t000704.jpg,0,0.0,0.0,nan
dinov2,C1_EMPTY,1_empty/slot_20260712_2030_camB_t002383.jpg,0,0.0,0.0,nan
dinov2,C1_EMPTY,1_empty/slot_20260711_1000_camB_t000974.jpg,0,0.0,0.0,nan
dinov2,C2_ACTIVE_PLAY,2_playing/clip_ca_1788518338406_t003533.jpg,9,0.1376070299019702,0.09803915895061728,1.4035925172642845
dinov2,C2_ACTIVE_PLAY,2_playing/clip_cd_1788518094123_t002633.jpg,8,0.08103558499893669,0.045284047067901234,1.7894952029669027
dinov2,C2_ACTIVE_PLAY,2_playing/clip_ce_1788518730311_t008100.jpg,8,0.028773735161315525,0.017591628086419755,1.6356493566123107
dinov2,C3_MAINTENANCE_NON_SPORTING,3_people_not_playing/slot_20260711_1000_camA_t000239.jpg,2,0.0030310544867116446,0.008095582561728395,0.3744084460383193
dinov2,C3_MAINTENANCE_NON_SPORTING,3_people_not_playing/slot_20260711_1000_camA_t000494.jpg,1,0.0,0.0017939814814814815,0.0
dinov2,C3_MAINTENANCE_NON_SPORTING,3_people_not_playing/slot_20260711_1000_camA_t000248_m.jpg,2,0.03254593590164589,0.025566165123456792,1.2730081239984326
convnextv2,C1_EMPTY,1_empty/slot_20260711_1000_camA_t000704.jpg,0,0.0,0.0,nan
convnextv2,C1_EMPTY,1_empty/slot_20260712_2030_camB_t002383.jpg,0,0.0,0.0,nan
convnextv2,C1_EMPTY,1_empty/slot_20260711_1000_camB_t000974.jpg,0,0.0,0.0,nan
convnextv2,C2_ACTIVE_PLAY,2_playing/clip_ca_1788518338406_t003533.jpg,9,0.29316784145423397,0.09803915895061728,2.9903137133388076
convnextv2,C2_ACTIVE_PLAY,2_playing/clip_cd_1788518094123_t002633.jpg,8,0.06975153881862671,0.045284047067901234,1.54031150780401
convnextv2,C2_ACTIVE_PLAY,2_playing/clip_ce_1788518730311_t008100.jpg,8,0.03557632195963952,0.017591628086419755,2.022343911823798
convnextv2,C3_MAINTENANCE_NON_SPORTING,3_people_not_playing/slot_20260711_1000_camA_t000239.jpg,2,0.021684052893695103,0.008095582561728395,2.6785043236055377
convnextv2,C3_MAINTENANCE_NON_SPORTING,3_people_not_playing/slot_20260711_1000_camA_t000494.jpg,1,0.0031961023311400153,0.0017939814814814815,1.7815692994225634
convnextv2,C3_MAINTENANCE_NON_SPORTING,3_people_not_playing/slot_20260711_1000_camA_t000248_m.jpg,2,0.05340343657771282,0.025566165123456792,2.088832498727606
vit,C1_EMPTY,1_empty/slot_20260711_1000_camA_t000704.jpg,0,0.0,0.0,nan
vit,C1_EMPTY,1_empty/slot_20260712_2030_camB_t002383.jpg,0,0.0,0.0,nan
vit,C1_EMPTY,1_empty/slot_20260711_1000_camB_t000974.jpg,0,0.0,0.0,nan
vit,C2_ACTIVE_PLAY,2_playing/clip_ca_1788518338406_t003533.jpg,9,0.099343130977604,0.09803915895061728,1.0133005223723262
vit,C2_ACTIVE_PLAY,2_playing/clip_cd_1788518094123_t002633.jpg,8,0.04441099539291399,0.045284047067901234,0.9807205466048972
vit,C2_ACTIVE_PLAY,2_playing/clip_ce_1788518730311_t008100.jpg,8,0.0187363957825054,0.017591628086419755,1.0650745735677174
vit,C3_MAINTENANCE_NON_SPORTING,3_people_not_playing/slot_20260711_1000_camA_t000239.jpg,2,0.005219220942913372,0.008095582561728395,0.6446998598454261
vit,C3_MAINTENANCE_NON_SPORTING,3_people_not_playing/slot_20260711_1000_camA_t000494.jpg,1,0.0019585329385952924,0.0017939814814814815,1.09172416706215
vit,C3_MAINTENANCE_NON_SPORTING,3_people_not_playing/slot_20260711_1000_camA_t000248_m.jpg,2,0.021501827447018795,0.025566165123456792,0.8410266984973436
