idx,defects
1,cinematic
2,
3,timestamp_overlay;wrong_venue
4,
5,wrong_venue
6,
7,
8,
9,
10,timestamp_overlay;sign_prop
11,
12,
13,timestamp_overlay
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,cinematic
24,
25,
26,wrong_venue
27,timestamp_overlay;wrong_venue;sign_prop
28,
29,
30,timestamp_overlay;wrong_venue;sign_prop
31,
32,
33,
34,wrong_venue
35,cinematic
36,timestamp_overlay;wrong_venue;sign_prop
37,
38,timestamp_overlay;wrong_venue
39,
40,timestamp_overlay;wrong_venue
41,
42,timestamp_overlay
43,
44,
45,
46,
47,
48,
49,
50,timestamp_overlay;wrong_venue
51,
52,timestamp_overlay;wrong_venue
53,timestamp_overlay;wrong_venue
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,cinematic
64,
65,
66,
67,wrong_venue
68,
69,
70,cinematic;sign_prop
71,
72,cinematic
73,
74,
75,wrong_venue
76,cinematic
77,
78,
79,
80,
81,
82,
83,wrong_venue
